,index,country,location,latitude,longitude,soil,pH,crop,sowing_year,sowing_month,harvest_year,harvest_month,yield_ct,yield_nt,P,E,PB,Tave,Tmax,Tmin,ST
30,928,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,soybean,1991,11,1991,4,1872.0,1954.0,1574.3,706.494,867.806,25.96667,31.36874,16.4265,Clay
31,929,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,soybean,1992,11,1992,4,2634.0,2462.0,1140.7,724.716,415.984,26.03333,31.1975,17.27341,Clay
32,930,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,soybean,1992,11,1992,4,2512.0,2163.0,1140.7,724.716,415.984,26.03333,31.1975,17.27341,Clay
33,931,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,soybean,1993,11,1993,4,2684.0,2928.0,1142.4,722.926,419.474,26.78333,31.35442,17.70844,Clay
34,932,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,soybean,1993,11,1993,4,2853.0,2977.0,1142.4,722.926,419.474,26.78333,31.35442,17.70844,Clay
35,933,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,soybean,1994,11,1994,4,2824.0,3139.0,1127.4,705.97,421.43,26.3,30.80348,15.64812,Clay
36,934,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,soybean,1995,11,1995,4,2925.0,3874.0,905.4,722.013,183.387,26.01667,30.05792,17.68686,Clay
37,935,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,soybean,1995,11,1995,4,3019.0,3319.0,905.4,722.013,183.387,26.01667,30.05792,17.68686,Clay
38,936,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,soybean,1996,11,1996,4,3018.0,3782.0,1283.8,683.274,600.526,26.13333,29.58086,16.00595,Clay
39,937,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,soybean,1996,11,1996,4,3433.0,3922.0,1283.8,683.274,600.526,26.13333,29.58086,16.00595,Clay
40,938,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,soybean,1997,11,1997,4,3183.0,3396.0,1326.6,684.994,641.606,26.53333,30.23105,18.10389,Clay
41,939,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,soybean,1997,11,1997,4,3427.0,3389.0,1326.6,684.994,641.606,26.53333,30.23105,18.10389,Clay
42,940,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,soybean,1998,11,1998,4,2569.0,2153.0,883.2,728.03,155.17,26.08333,29.34542,16.69589,Clay
43,941,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,soybean,1999,11,1999,4,3429.0,3856.0,677.9,727.297,-49.397,25.41667,30.02567,16.95299,Clay
44,942,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,soybean,1999,11,1999,4,3189.0,3560.0,677.9,727.297,-49.397,25.41667,30.02567,16.95299,Clay
45,943,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,soybean,2000,11,2000,4,1663.0,3403.0,1086.0,730.731,355.269,26.38333,30.17106,18.94748,Clay
46,944,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,soybean,2000,11,2000,4,1624.0,3188.0,1086.0,730.731,355.269,26.38333,30.17106,18.94748,Clay
47,945,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,soybean,2001,11,2001,4,2811.0,3375.0,1205.4,735.595,469.805,27.56667,33.28301,19.07521,Clay
48,946,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,soybean,2001,11,2001,4,3143.0,3640.0,1205.4,735.595,469.805,27.56667,33.28301,19.07521,Clay
49,947,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,soybean,2002,11,2002,4,2815.0,3310.0,1003.4,727.617,275.783,27.03333,31.52832,17.43721,Clay
50,948,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,soybean,2003,11,2003,4,2518.0,3330.0,978.4,725.768,252.632,26.28333,30.87809,18.3943,Clay
51,949,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,soybean,2003,11,2003,4,3021.0,3770.0,978.4,725.768,252.632,26.28333,30.87809,18.3943,Clay
52,950,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,soybean,2004,11,2004,4,1565.0,2662.0,901.2,704.55,196.65,27.1,30.65749,19.15702,Clay
53,951,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,soybean,2004,11,2004,4,1947.0,2743.0,901.2,704.55,196.65,27.1,30.65749,19.15702,Clay
54,952,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,soybean,2005,11,2005,4,1471.0,2650.0,855.3,731.322,123.978,26.38333,30.31555,17.65344,Clay
55,953,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,soybean,2005,11,2005,4,2125.0,2569.0,855.3,731.322,123.978,26.38333,30.31555,17.65344,Clay
56,954,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,soybean,2006,11,2006,4,1815.0,3346.0,1277.0,716.387,560.613,27.0,30.74439,19.56731,Clay
57,955,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,soybean,2007,11,2007,4,2336.0,3585.0,1230.7,700.486,530.214,25.85,31.07671,17.75579,Clay
58,956,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,soybean,2007,11,2007,4,3152.0,3448.0,1230.7,700.486,530.214,25.85,31.07671,17.75579,Clay
59,957,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,soybean,2008,11,2008,4,1502.0,3421.0,929.4,728.701,200.699,26.6,32.14787,17.35024,Clay
60,958,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,soybean,2008,11,2008,4,2000.0,3610.0,929.4,728.701,200.699,26.6,32.14787,17.35024,Clay
61,959,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,soybean,2009,11,2009,4,2130.0,3835.0,1407.5,682.595,724.904,26.3,31.79579,17.36135,Clay
62,960,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,soybean,2009,11,2009,4,2871.0,4005.0,1407.5,682.595,724.904,26.3,31.79579,17.36135,Clay
63,961,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,soybean,2010,11,2010,4,2592.0,3355.0,1073.4,705.208,368.192,25.66667,31.14505,17.61165,Clay
64,962,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,soybean,2011,11,2011,4,2767.0,3112.0,825.7,760.089,65.611,26.31667,32.86046,17.39611,Clay
65,963,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,soybean,2011,11,2011,4,2875.0,3225.0,825.7,760.089,65.611,26.31667,32.86046,17.39611,Clay
66,4315,Canada,"Ontario, Alvinston",51.33,-85.33,clay, ,soybean,1994,6,1994,10,2893.0,2858.0,236.8,305.006,-68.206,12.08,22.09153,2.08856,Clay
67,4316,Canada,"Ontario, Alvinston",51.33,-85.33,clay, ,soybean,1994,6,1994,10,3128.0,2800.0,236.8,305.006,-68.206,12.08,22.09153,2.08856,Clay
68,4317,Canada,"Ontario, Alvinston",51.33,-85.33,clay, ,soybean,1995,6,1995,10,2223.0,1903.0,230.5,307.938,-77.438,11.96,23.96254,-1.04606,Clay
69,4318,Canada,"Ontario, Alvinston",51.33,-85.33,clay, ,soybean,1995,6,1995,10,2050.0,1718.0,230.5,307.938,-77.438,11.96,23.96254,-1.04606,Clay
70,4319,Canada,"Ontario, Alvinston",51.33,-85.33,clay, ,soybean,1996,6,1996,10,2500.0,2777.0,223.6,334.06,-110.46,12.0,22.94786,-1.13212,Clay
71,4320,Canada,"Ontario, Alvinston",51.33,-85.33,clay, ,soybean,1996,6,1996,10,2533.0,2327.0,223.6,334.06,-110.46,12.0,22.94786,-1.13212,Clay
72,4321,Canada,"Ontario, Fingal",51.33,-85.33,silty clay loam, ,soybean,1994,6,1994,10,3100.0,3493.0,236.8,305.006,-68.206,12.08,22.09153,2.08856,Clay
73,4322,Canada,"Ontario, Fingal",51.33,-85.33,silty clay loam, ,soybean,1994,6,1994,10,3363.0,3300.0,236.8,305.006,-68.206,12.08,22.09153,2.08856,Clay
74,4323,Canada,"Ontario, Fingal",51.33,-85.33,silty clay loam, ,soybean,1995,6,1995,10,4040.0,4108.0,230.5,307.938,-77.438,11.96,23.96254,-1.04606,Clay
75,4324,Canada,"Ontario, Fingal",51.33,-85.33,silty clay loam, ,soybean,1995,6,1995,10,4145.0,3963.0,230.5,307.938,-77.438,11.96,23.96254,-1.04606,Clay
76,4325,Canada,"Ontario, Fingal",51.33,-85.33,silty clay loam, ,soybean,1996,6,1996,10,3693.0,3840.0,223.6,334.06,-110.46,12.0,22.94786,-1.13212,Clay
77,4326,Canada,"Ontario, Fingal",51.33,-85.33,silty clay loam, ,soybean,1996,6,1996,10,3570.0,3458.0,223.6,334.06,-110.46,12.0,22.94786,-1.13212,Clay
