,index,country,location,latitude,longitude,soil,pH,crop,sowing_year,sowing_month,harvest_year,harvest_month,yield_ct,yield_nt,P,E,PB,Tave,Tmax,Tmin,ST
33,4213,China,"Hubei province, Xiaonan County, Xushan Village",30.98,113.93,available,5.78,rice,2005,5,2005,9,5900.0,6400.0,694.8,533.458,161.342,27.0,33.79424,20.36772,Loam
34,4214,China,"Hubei province, Xiaonan County, Xushan Village",30.98,113.93,available,5.78,rice,2005,5,2005,9,6000.0,6100.0,694.8,533.458,161.342,27.0,33.79424,20.36772,Loam
35,4215,China,"Hubei province, Xiaonan County, Xushan Village",30.98,113.93,available,5.78,rice,2005,5,2005,9,3600.0,4200.0,694.8,533.458,161.342,27.0,33.79424,20.36772,Loam
36,4216,China,"Hubei province, Xiaonan County, Xushan Village",30.98,113.93,available,5.78,rice,2005,5,2005,9,5900.0,6300.0,694.8,533.458,161.342,27.0,33.79424,20.36772,Loam
37,4217,China,"Hubei province, Xiaonan County, Xushan Village",30.98,113.93,available,5.78,rice,2005,5,2005,9,6000.0,6200.0,694.8,533.458,161.342,27.0,33.79424,20.36772,Loam
38,1315,China,Hunan,28.18,113.07,Fluvisol,5.83,rice,2009,3,2009,6,2622.0,4100.0,794.3,334.279,460.021,19.55,28.30531,7.22014,Clay loam
39,1316,China,Hunan,28.18,113.07,Fluvisol,5.83,rice,2010,3,2010,6,2534.0,5226.0,1027.6,275.726,751.875,18.1,24.85573,7.16769,Clay loam
40,1317,China,Hunan,28.18,113.07,Fluvisol,5.83,rice,2011,3,2011,6,1864.0,3361.0,601.4,332.36,269.04,18.7,26.42601,4.95323,Clay loam
41,1322,China,"Hunan Province, Changsha",28.18,113.07,clay, ,rice,2004,3,2004,6,8380.0,8700.0,773.0,353.483,419.517,19.675,26.76139,7.16453,Clay loam
42,1323,China,"Hunan Province, Changsha",28.18,113.07,clay, ,rice,2006,3,2006,6,10160.0,10130.0,776.8,346.064,430.736,19.875,27.30806,7.64725,Clay loam
43,1324,China,"Hunan Province, Changsha",28.18,113.07,clay, ,rice,2007,3,2007,6,10460.0,10680.0,550.7,342.13,208.57,19.875,27.10545,8.32728,Clay loam
44,1325,China,"Hunan Province, Changsha",28.18,113.07,clay, ,rice,2008,3,2008,6,11250.0,10260.0,602.6,346.063,256.537,20.375,26.35163,9.77641,Clay loam
45,1326,China,"Hunan Province, Changsha",28.18,113.07,clay, ,rice,2009,3,2009,6,9090.0,9080.0,794.3,334.279,460.021,19.55,28.30531,7.22014,Clay loam
