,Year,Plot Num,Treatment Num,Stover Harvest,BioChar History,Tillage,Depth,Replicate,Bulk Density ,TotalC.perc,TotalN.perc,InorganicC.perc,OrgC.perc,pH
0,2012,115E,1,,No,Chisel,15 to 30,1,1.6229862628238776,1.98,0.15,,,5.5
1,2012,110E,3,Moderate,No,Chisel,15 to 30,1,1.58267535981785,1.51,0.1,,,5.7
2,2012,116E,4,Moderate,No,No-till,15 to 30,1,1.7163192897457813,1.96,0.16,,,5.6
3,2012,119E,5,High,No,Chisel,15 to 30,1,1.5376340291808048,1.89,0.14,,,5.0
4,2012,120E,6,High,No,No-till,15 to 30,1,1.3914819821203828,1.97,0.16,,,5.5
5,2012,103E,13,,Yes ,Chisel,15 to 30,1,1.6983918444530688,2.19,0.15,,2.19,7.0
6,2012,117E,14,,Yes ,Chisel,15 to 30,1,1.6416429398288295,1.83,0.15,,,5.9
7,2012,107E,15,Moderate,Yes ,Chisel,15 to 30,1,1.8052586920235332,1.41,0.12,,1.41,6.1
8,2012,104E,16,Moderate,Yes ,Chisel,15 to 30,1,1.7446223758251345,1.85,0.13,,1.85,6.7
9,2012,109E,17,High,Yes ,Chisel,15 to 30,1,1.7282992116069353,1.38,0.09,,1.38,6.1
10,2012,101E,18,High,Yes ,Chisel,15 to 30,1,1.5818271098305907,1.67,0.13,,1.67,6.9
11,2012,208E,1,Moderate,No,Chisel,15 to 30,2,1.501214340835873,2.13,0.17,,2.13,5.4
12,2012,213E,3,Moderate,No,No-till,15 to 30,2,1.5375951680583315,1.39,0.13,,1.39,5.2
13,2012,206E,4,High,No,Chisel,15 to 30,2,1.5000994181907084,2.89,0.23,,2.89,5.8
14,2012,207E,5,High,No,No-till,15 to 30,2,1.7072119350697734,1.46,0.14,,1.46,5.6
15,2012,201E,6,,Yes ,Chisel,15 to 30,2,1.6312190412409702,1.85,0.15,,1.85,6.3
16,2012,202E,13,High,Yes ,Chisel,15 to 30,2,1.7010458731611657,1.5,0.13,,1.5,6.6
17,2012,202E,13,,Yes ,Chisel,15 to 30,2,1.7010458731611657,1.5,0.13,,1.5,6.6
18,2012,216E,14,Moderate,Yes ,Chisel,15 to 30,2,1.5475541101507715,2.62,0.18,,2.62,6.0
19,2012,211E,15,Moderate,Yes ,Chisel,15 to 30,2,1.6228835643739965,1.61,0.12,,1.61,5.8
20,2012,204E,16,High,Yes ,Chisel,15 to 30,2,1.513779648986713,1.22,0.13,,1.22,6.4
21,2012,205E,18,High,Yes ,Chisel,15 to 30,2,1.613695398315229,1.63,0.16,,1.63,6.0
22,2012,322E,1,,No,Chisel,15 to 30,3,1.6603956177100945,2.06,0.13,,,6.3
23,2012,305E,3,Moderate,No,Chisel,15 to 30,3,1.5554088618127857,1.78,0.14,,,6.0
24,2012,304E,4,Moderate,No,No-till,15 to 30,3,1.6368552934862541,1.46,0.12,,,5.7
25,2012,307E,5,High,No,Chisel,15 to 30,3,1.8374612510039394,2.22,0.13,,,6.2
26,2012,321E,6,High,No,No-till,15 to 30,3,1.5740476379893256,2.08,0.14,,,6.3
27,2012,320E,13,,Yes ,Chisel,15 to 30,3,1.6492052825905756,1.86,0.14,,,6.2
28,2012,315E,14,,Yes ,Chisel,15 to 30,3,1.6349988352465608,1.85,0.15,,,5.9
29,2012,301E,15,Moderate,Yes ,Chisel,15 to 30,3,1.6011904103647776,2.03,0.16,,,6.1
30,2012,319E,16,Moderate,Yes ,Chisel,15 to 30,3,1.570170102537268,1.82,0.14,,,5.8
31,2012,311E,17,High,Yes ,Chisel,15 to 30,3,1.6108002867576594,2.41,0.17,,,5.8
32,2012,312E,18,High,Yes ,Chisel,15 to 30,3,1.5778089213999589,1.68,0.14,,,5.8
33,2012,420E,1,,No,Chisel,15 to 30,4,1.7209108082326348,0.87,0.1,,,6.2
34,2012,405E,3,Moderate,No,Chisel,15 to 30,4,1.5403026351421243,3.41,0.24,,,5.9
35,2012,414E,4,Moderate,No,No-till,15 to 30,4,1.5975687031796089,1.77,0.14,,,7.2
36,2012,402E,5,High,No,Chisel,15 to 30,4,1.5841652958138102,2.74,0.2,,,5.5
37,2012,411E,6,High,No,No-till,15 to 30,4,1.7450634362044506,1.56,0.14,,,6.5
38,2012,419E,13,,Yes ,Chisel,15 to 30,4,1.6124979928732843,1.63,0.13,,,6.3
39,2012,413E,14,,Yes ,Chisel,15 to 30,4,1.6078557637664161,1.83,0.17,,,6.6
40,2012,418E,15,Moderate,Yes ,Chisel,15 to 30,4,1.6185749694074547,1.5,0.11,,,6.5
41,2012,403E,16,Moderate,Yes ,Chisel,15 to 30,4,1.6267543585814763,2.94,0.21,,,5.7
42,2012,407E,17,High,Yes ,Chisel,15 to 30,4,1.6228464666879034,2.16,0.16,,,6.2
43,2012,406E,18,High,Yes ,Chisel,15 to 30,4,1.4746932441726914,1.59,0.14,,,5.7
