,Year,Plot Num,Treatment Num,Stover Harvest,BioChar History,Tillage,Depth,Replicate,Collect Date,TotalC.perc,TotalN.perc,InorganicC.perc,OrgC.perc,OrganicMatter.perc,pH
0,2017,102,21,Moderate,No,No-Till,0 to 15,1,2018-07-09 00:00:00,2.67,0.22,,,3.4,7.1
1,2017,105,9,High,No,No-Till,0 to 15,1,2018-07-09 00:00:00,3.01,0.25,,,3.7,7.3
2,2017,106,2,High,No,No-Till,0 to 15,1,2018-07-09 00:00:00,3.11,0.25,,,3.5,7.0
3,2017,108,10,Moderate,No,No-Till,0 to 15,1,2018-07-09 00:00:00,2.43,0.21,,,3.2,6.3
4,2017,111,22,High,No,No-Till,0 to 15,1,2018-07-09 00:00:00,2.69,0.21,,,3.3,6.6
5,2017,112,19,Moderate,No,No-Till,0 to 15,1,2018-07-09 00:00:00,2.54,0.21,,,2.9,6.0
6,2017,113,20,High,No,No-Till,0 to 15,1,2018-07-09 00:00:00,2.62,0.19,,,3.2,7.3
7,2017,114,7,High,No,No-Till,0 to 15,1,2018-07-09 00:00:00,2.58,0.21,,,3.3,6.6
8,2017,118,11,High,No,No-Till,0 to 15,1,2018-07-09 00:00:00,2.59,0.23,,,3.4,6.0
9,2017,121,12,High,No,No-Till,0 to 15,1,2018-07-09 00:00:00,2.33,0.19,,,2.5,6.6
10,2017,122,8,High,No,No-Till,0 to 15,1,2018-07-09 00:00:00,2.13,0.19,,,3.1,6.4
11,2017,203,19,Moderate,No,No-Till,0 to 15,2,2018-07-09 00:00:00,1.92,0.18,,,2.3,6.5
12,2017,209,7,High,No,No-Till,0 to 15,2,2018-07-09 00:00:00,2.41,0.21,,,3.1,6.8
13,2017,212,12,High,No,No-Till,0 to 15,2,2018-07-09 00:00:00,1.64,0.14,,,1.3,6.7
14,2017,214,20,High,No,No-Till,0 to 15,2,2018-07-09 00:00:00,1.9,0.17,,,2.3,7.5
15,2017,215,21,Moderate,No,No-Till,0 to 15,2,2018-07-09 00:00:00,2.1,0.18,,,2.4,7.3
16,2017,217,9,High,No,No-Till,0 to 15,2,2018-07-09 00:00:00,3.34,0.25,,,3.5,6.7
17,2017,218,8,High,No,No-Till,0 to 15,2,2018-07-09 00:00:00,2.38,0.22,,,3.2,7.1
18,2017,219,2,High,No,No-Till,0 to 15,2,2018-07-09 00:00:00,1.88,0.18,,,2.6,7.4
19,2017,220,11,High,No,No-Till,0 to 15,2,2018-07-09 00:00:00,1.75,0.15,,,2.6,6.7
20,2017,221,10,Moderate,No,No-Till,0 to 15,2,2018-07-09 00:00:00,1.79,0.18,,,2.6,5.2
21,2017,222,22,High,No,No-Till,0 to 15,2,2018-07-09 00:00:00,2.08,0.17,,,2.7,6.9
22,2017,302,19,Moderate,No,No-Till,0 to 15,3,2018-07-09 00:00:00,2.11,0.18,,,2.8,5.9
23,2017,303,22,High,No,No-Till,0 to 15,3,2018-07-09 00:00:00,2.29,0.19,,,3.1,6.0
24,2017,306,21,Moderate,No,No-Till,0 to 15,3,2018-07-09 00:00:00,3.23,0.25,,,3.7,6.0
25,2017,308,20,High,No,No-Till,0 to 15,3,2018-07-09 00:00:00,2.71,0.25,,,3.7,6.8
26,2017,309,9,High,No,No-Till,0 to 15,3,2018-07-09 00:00:00,2.75,0.23,,,3.6,6.0
27,2017,310,8,High,No,No-Till,0 to 15,3,2018-07-09 00:00:00,3.26,0.29,,,4.5,6.8
28,2017,313,11,High,No,No-Till,0 to 15,3,2018-07-09 00:00:00,2.15,0.23,,,2.9,6.0
29,2017,314,12,High,No,No-Till,0 to 15,3,2018-07-09 00:00:00,1.89,0.17,,,2.5,6.8
30,2017,316,7,High,No,No-Till,0 to 15,3,2018-07-09 00:00:00,2.67,0.23,,,3.4,6.2
31,2017,317,10,Moderate,No,No-Till,0 to 15,3,2018-07-09 00:00:00,2.53,0.2,,,3.5,6.4
32,2017,318,2,High,No,No-Till,0 to 15,3,2018-07-09 00:00:00,2.43,0.19,,,3.3,7.0
33,2017,401,9,High,No,No-Till,0 to 15,4,2018-07-09 00:00:00,2.3,0.19,,,2.6,7.0
34,2017,404,11,High,No,No-Till,0 to 15,4,2018-07-09 00:00:00,3.26,0.24,,,4.2,6.5
35,2017,408,7,High,No,No-Till,0 to 15,4,2018-07-09 00:00:00,2.65,0.22,,,4.0,6.9
36,2017,409,19,Moderate,No,No-Till,0 to 15,4,2018-07-09 00:00:00,2.53,0.21,,,3.5,6.5
37,2017,410,10,Moderate,No,No-Till,0 to 15,4,2018-07-09 00:00:00,2.21,0.18,,,3.6,6.9
38,2017,412,21,Moderate,No,No-Till,0 to 15,4,2018-07-09 00:00:00,2.02,0.18,,,2.8,7.1
39,2017,415,8,High,No,No-Till,0 to 15,4,2018-07-09 00:00:00,2.59,0.2,,,3.8,6.7
40,2017,416,20,High,No,No-Till,0 to 15,4,2018-07-09 00:00:00,2.28,0.19,,,3.0,7.2
41,2017,417,22,High,No,No-Till,0 to 15,4,2018-07-09 00:00:00,2.0,0.19,,,2.8,7.6
42,2017,421,12,High,No,No-Till,0 to 15,4,2018-07-09 00:00:00,2.05,0.18,,,3.1,5.6
43,2017,422,2,High,No,No-Till,0 to 15,4,2018-07-09 00:00:00,2.73,0.23,,,3.1,7.4
