,Year,Plot Num,Treatment Num,Stover Harvest,BioChar History,Tillage,Depth,Replicate,Collect Date,TotalC.perc,TotalN.perc,InorganicC.perc,OrgC.perc,OrganicMatter.perc,pH
0,2017,102,21,Moderate,No,No-Till,30 to 60,1,2018-07-09 00:00:00,1.28,0.12,,,2.3,6.9
1,2017,105,9,High,No,No-Till,30 to 60,1,2018-07-09 00:00:00,0.96,0.09,,,2.2,7.1
2,2017,106,2,High,No,No-Till,30 to 60,1,2018-07-09 00:00:00,0.85,0.09,0.21,0.64,1.3,7.1
3,2017,108,10,Moderate,No,No-Till,30 to 60,1,2018-07-09 00:00:00,0.93,0.1,,,1.8,6.5
4,2017,111,22,High,No,No-Till,30 to 60,1,2018-07-09 00:00:00,1.15,0.1,,,2.3,6.4
5,2017,112,19,Moderate,No,No-Till,30 to 60,1,2018-07-09 00:00:00,0.67,0.08,,,1.1,7.0
6,2017,113,20,High,No,No-Till,30 to 60,1,2018-07-09 00:00:00,1.04,0.09,,,1.8,6.8
7,2017,114,7,High,No,No-Till,30 to 60,1,2018-07-09 00:00:00,1.59,0.11,,,2.6,6.3
8,2017,118,11,High,No,No-Till,30 to 60,1,2018-07-09 00:00:00,1.27,0.1,,,2.2,6.7
9,2017,121,12,High,No,No-Till,30 to 60,1,2018-07-09 00:00:00,1.51,0.13,,,2.3,6.4
10,2017,122,8,High,No,No-Till,30 to 60,1,2018-07-09 00:00:00,1.18,0.11,,,2.0,5.9
11,2017,203,19,Moderate,No,No-Till,30 to 60,2,2018-07-09 00:00:00,1.5,0.05,1.07,0.43,1.0,8.0
12,2017,209,7,High,No,No-Till,30 to 60,2,2018-07-09 00:00:00,1.24,0.12,,,2.5,6.0
13,2017,212,12,High,No,No-Till,30 to 60,2,2018-07-09 00:00:00,0.63,0.08,,,0.5,8.3
14,2017,214,20,High,No,No-Till,30 to 60,2,2018-07-09 00:00:00,0.87,0.09,,,1.5,7.0
15,2017,215,21,Moderate,No,No-Till,30 to 60,2,2018-07-09 00:00:00,1.09,0.1,< 0.03,1.07,2.0,6.6
16,2017,217,9,High,No,No-Till,30 to 60,2,2018-07-09 00:00:00,1.34,0.11,,,2.2,6.9
17,2017,218,8,High,No,No-Till,30 to 60,2,2018-07-09 00:00:00,0.66,0.08,,,1.4,7.0
18,2017,219,2,High,No,No-Till,30 to 60,2,2018-07-09 00:00:00,0.98,0.11,,,1.7,6.6
19,2017,220,11,High,No,No-Till,30 to 60,2,2018-07-09 00:00:00,0.55,0.07,,,1.3,6.9
20,2017,221,10,Moderate,No,No-Till,30 to 60,2,2018-07-09 00:00:00,0.82,0.08,,,1.7,6.3
21,2017,222,22,High,No,No-Till,30 to 60,2,2018-07-09 00:00:00,1.07,0.1,,,2.1,6.4
22,2017,302,19,Moderate,No,No-Till,30 to 60,3,2018-07-09 00:00:00,1.39,0.12,,,2.4,6.1
23,2017,303,22,High,No,No-Till,30 to 60,3,2018-07-09 00:00:00,1.27,0.11,,,2.0,6.3
24,2017,306,21,Moderate,No,No-Till,30 to 60,3,2018-07-09 00:00:00,1.18,0.13,,,2.1,6.3
25,2017,308,20,High,No,No-Till,30 to 60,3,2018-07-09 00:00:00,1.49,0.12,0.76,0.73,1.6,8.0
26,2017,309,9,High,No,No-Till,30 to 60,3,2018-07-09 00:00:00,1.2,0.09,0.6,0.6,1.5,7.8
27,2017,310,8,High,No,No-Till,30 to 60,3,2018-07-09 00:00:00,1.22,0.09,,,2.3,6.8
28,2017,313,11,High,No,No-Till,30 to 60,3,2018-07-09 00:00:00,1.44,0.15,,,2.5,6.1
29,2017,314,12,High,No,No-Till,30 to 60,3,2018-07-09 00:00:00,0.72,0.08,,,1.3,6.9
30,2017,316,7,High,No,No-Till,30 to 60,3,2018-07-09 00:00:00,1.12,0.1,,,2.2,6.2
31,2017,317,10,Moderate,No,No-Till,30 to 60,3,2018-07-09 00:00:00,1.22,0.11,,,3.3,6.0
32,2017,318,2,High,No,No-Till,30 to 60,3,2018-07-09 00:00:00,0.77,0.07,,,1.8,6.9
33,2017,401,9,High,No,No-Till,30 to 60,4,2018-07-09 00:00:00,2.2,0.17,,,3.3,6.8
34,2017,404,11,High,No,No-Till,30 to 60,4,2018-07-09 00:00:00,1.76,0.14,,,3.3,6.7
35,2017,408,7,High,No,No-Till,30 to 60,4,2018-07-09 00:00:00,1.87,0.15,,,3.4,7.0
36,2017,409,19,Moderate,No,No-Till,30 to 60,4,2018-07-09 00:00:00,1.1,0.09,,,1.9,7.1
37,2017,410,10,Moderate,No,No-Till,30 to 60,4,2018-07-09 00:00:00,1.06,0.11,,,2.2,6.9
38,2017,412,21,Moderate,No,No-Till,30 to 60,4,2018-07-09 00:00:00,0.95,0.11,,,2.0,7.5
39,2017,415,8,High,No,No-Till,30 to 60,4,2018-07-09 00:00:00,1.47,0.12,,,2.9,6.0
40,2017,416,20,High,No,No-Till,30 to 60,4,2018-07-09 00:00:00,0.87,0.09,< 0.03,0.86,2.3,7.2
41,2017,417,22,High,No,No-Till,30 to 60,4,2018-07-09 00:00:00,0.69,0.08,,,1.5,7.6
42,2017,421,12,High,No,No-Till,30 to 60,4,2018-07-09 00:00:00,1.19,0.09,0.3,0.89,1.7,7.9
43,2017,422,2,High,No,No-Till,30 to 60,4,2018-07-09 00:00:00,1.6,0.05,1.61,-0.01,0.9,8.2
