,Year,Plot Num,Treatment Num,Stover Harvest,BioChar History,Tillage,Depth,Replicate,Bulk Density ,TotalC.perc,TotalN.perc,InorganicC.perc,OrgC.perc,pH
0,2012,115E,1,,No,Chisel,60 to 90,1,1.6334030279473117,0.42,0.04,< 0.03,0.41,6.9
1,2012,110E,3,Moderate,No,Chisel,60 to 90,1,1.5551722165640007,1.6,0.03,1.37,0.23,8.1
2,2012,116E,4,Moderate,No,No-till,60 to 90,1,1.6148837632015856,0.49,0.06,< 0.03,0.49,6.9
3,2012,119E,5,High,No,Chisel,60 to 90,1,1.5633181282333324,0.66,0.07,< 0.03,0.66,6.6
4,2012,120E,6,High,No,No-till,60 to 90,1,1.5214395369164544,0.54,0.06,< 0.03,0.54,6.5
5,2012,103E,13,,Yes ,Chisel,60 to 90,1,1.5107412008002519,0.65,0.05,< 0.03,0.64,7.4
6,2012,117E,14,,Yes ,Chisel,60 to 90,1,1.5790529812421146,0.49,0.06,< 0.03,0.49,7.3
7,2012,107E,15,Moderate,Yes ,Chisel,60 to 90,1,1.5735231694655623,1.75,0.04,1.77,0.0,8.3
8,2012,104E,16,Moderate,Yes ,Chisel,60 to 90,1,1.6059247331795794,0.36,0.04,< 0.03,0.35,7.5
9,2012,109E,17,High,Yes ,Chisel,60 to 90,1,1.6221115601441904,2.44,0.04,2.12,0.32,8.3
10,2012,101E,18,High,Yes ,Chisel,60 to 90,1,1.601073827896367,1.24,0.06,0.89,0.35,7.9
11,2012,208E,1,Moderate,No,Chisel,60 to 90,2,1.595302610463713,0.53,0.07,0.05,0.48000000000000004,7.3
12,2012,213E,3,Moderate,No,No-till,60 to 90,2,1.0068774412078396,0.3,0.06,< 0.03,0.3,6.4
13,2012,206E,4,High,No,Chisel,60 to 90,2,1.524603768946661,0.61,0.07,< 0.03,0.61,7.2
14,2012,207E,5,High,No,No-till,60 to 90,2,1.634184677190738,2.05,0.05,1.53,0.5199999999999998,8.1
15,2012,201E,6,,Yes ,Chisel,60 to 90,2,1.5909536440130099,1.39,0.05,1.01,0.3799999999999999,7.9
16,2012,202E,13,High,Yes ,Chisel,60 to 90,2,1.5075092617989898,0.73,0.06,0.4,0.32999999999999996,7.8
17,2012,202E,13,,Yes ,Chisel,60 to 90,2,1.5075092617989898,0.73,0.06,0.4,0.32999999999999996,7.8
18,2012,216E,14,Moderate,Yes ,Chisel,60 to 90,2,1.568104781198924,0.65,0.07,< 0.03,0.65,7.1
19,2012,211E,15,Moderate,Yes ,Chisel,60 to 90,2,1.6338597291468326,1.43,0.05,0.99,0.43999999999999995,8.2
20,2012,204E,16,High,Yes ,Chisel,60 to 90,2,1.6192852900566983,1.23,0.05,0.97,0.26,8.2
21,2012,205E,18,High,Yes ,Chisel,60 to 90,2,1.5637669653448936,0.84,0.07,0.36,0.48,7.8
22,2012,322E,1,,No,Chisel,60 to 90,3,1.6956147147971903,0.33,0.03,< 0.03,0.31,7.2
23,2012,305E,3,Moderate,No,Chisel,60 to 90,3,1.5797570585674847,0.33,0.03,< 0.03,0.33,7.1
24,2012,304E,4,Moderate,No,No-till,60 to 90,3,1.5854828948162683,0.89,0.04,0.58,,7.7
25,2012,307E,5,High,No,Chisel,60 to 90,3,1.517775053877216,0.74,0.05,< 0.03,0.74,7.1
26,2012,321E,6,High,No,No-till,60 to 90,3,1.5603975323326722,1.82,0.04,1.5,,8.1
27,2012,320E,13,,Yes ,Chisel,60 to 90,3,1.5364802293156525,1.32,0.03,1.14,,8.1
28,2012,315E,14,,Yes ,Chisel,60 to 90,3,1.578484315090148,0.88,0.05,0.43,,7.7
29,2012,301E,15,Moderate,Yes ,Chisel,60 to 90,3,1.5277260510580004,0.69,0.05,0.31,,7.3
30,2012,319E,16,Moderate,Yes ,Chisel,60 to 90,3,1.6452862781565047,0.72,0.05,0.47,,7.8
31,2012,311E,17,High,Yes ,Chisel,60 to 90,3,1.5563482310752408,0.84,0.05,0.39,,7.8
32,2012,312E,18,High,Yes ,Chisel,60 to 90,3,1.524990009691315,0.5,0.07,0.13,,7.2
33,2012,420E,1,,No,Chisel,60 to 90,4,1.69427067750854,2.25,0.03,2.22,0.03,8.3
34,2012,405E,3,Moderate,No,Chisel,60 to 90,4,1.5187890695225554,0.55,0.06,< 0.03,0.53,7.2
35,2012,414E,4,Moderate,No,No-till,60 to 90,4,1.5087541729128298,0.57,0.06,< 0.03,0.57,7.5
36,2012,402E,5,High,No,Chisel,60 to 90,4,1.459105119484771,0.71,0.06,< 0.03,0.7,7.0
37,2012,411E,6,High,No,No-till,60 to 90,4,1.5272161935335775,1.81,0.04,1.51,0.3,8.3
38,2012,419E,13,,Yes ,Chisel,60 to 90,4,1.60188600952134,0.22,0.05,< 0.03,0.22,7.5
39,2012,413E,14,,Yes ,Chisel,60 to 90,4,1.6421229872170968,0.33,0.05,< 0.03,0.33,7.2
40,2012,418E,15,Moderate,Yes ,Chisel,60 to 90,4,1.5588888502314877,0.39,0.04,0.1,0.29,7.8
41,2012,403E,16,Moderate,Yes ,Chisel,60 to 90,4,1.487067090736546,0.82,0.08,< 0.03,0.81,7.5
42,2012,407E,17,High,Yes ,Chisel,60 to 90,4,1.4936416329577604,0.8,0.07,< 0.03,0.8,7.2
43,2012,406E,18,High,Yes ,Chisel,60 to 90,4,1.6144299601682122,0.32,0.06,< 0.03,0.32,7.5
