,Year,Plot Num,Treatment Num,Stover Harvest,BioChar History,Tillage,Replicate,Sample Num,Depth,Collect Date,TotalC.perc,TotalN.perc,InorganicC.perc,OrgC.perc,OrganicMatter.perc,pH
0,2016,101W,18,High,Yes ,Chisel,1,#9,60 to 90,2017-03-23 00:00:00,1.78,0.05,1.44,0.34,1.1,8.1
1,2016,103W,13,,Yes ,Chisel,1,#29,60 to 90,2017-03-23 00:00:00,0.23,0.06,< 0.03,0.21,1.9,7.7
2,2016,104W,16,Moderate,Yes ,Chisel,1,#39,60 to 90,2017-03-23 00:00:00,0.4,0.04,0.23,0.17,1.7,7.3
3,2016,107W,15,Moderate,Yes ,Chisel,1,#69,60 to 90,2017-03-23 00:00:00,2.46,0.18,,,1.4,7.5
4,2016,109W,17,High,Yes ,Chisel,1,#89,60 to 90,2017-03-23 00:00:00,2.47,0.19,,,1.8,7.4
5,2016,110W,3,Moderate,No,Chisel,1,#99,60 to 90,2017-03-23 00:00:00,1.9,0.16,,,1.4,7.6
6,2016,115W,1,,No,Chisel,1,#149,60 to 90,2017-03-23 00:00:00,1.91,0.16,,,1.2,8
7,2016,116W,4,Moderate,No,No-till,1,#159,60 to 90,2017-03-23 00:00:00,2.1,0.17,,,1.5,7.4
8,2016,117W,14,,Yes ,Chisel,1,#169,60 to 90,2017-03-23 00:00:00,2.13,0.15,,,0.8,7.1
9,2016,119W,5,High,No,Chisel,1,#189,60 to 90,2017-03-23 00:00:00,2.22,0.18,,,1.2,6.8
10,2016,120W,6,High,No,No-till,1,#199,60 to 90,2017-03-23 00:00:00,1.79,0.19,,,1.2,6.6
11,2016,201W,6,High,No,No-till,2,#229,60 to 90,2017-03-23 00:00:00,1.52,0.11,,,1.2,7.5
12,2016,202W,13,,Yes ,Chisel,2,#239,60 to 90,2017-03-23 00:00:00,1.44,0.12,,,1.4,7.3
13,2016,204W,16,Moderate,Yes ,Chisel,2,#259,60 to 90,2017-03-23 00:00:00,1.9,0.16,,,1.5,6.8
14,2016,205W,18,High,Yes ,Chisel,2,#269,60 to 90,2017-03-23 00:00:00,1.65,0.15,,,1.6,6.3
15,2016,206W,4,Moderate,No,No-till,2,#279,60 to 90,2017-03-23 00:00:00,0.99,0.11,,,0.9,7.4
16,2016,207W,5,High,No,Chisel,2,#289,60 to 90,2017-03-23 00:00:00,1.14,0.1,,,0.9,7.3
17,2016,208W,14,High,Yes ,Chisel,2,#299,60 to 90,2017-03-23 00:00:00,1.5,0.09,,,1.1,7.8
18,2016,210W,17,High,Yes ,Chisel,2,#319,60 to 90,2017-03-23 00:00:00,0.98,0.08,,,0.9,7.6
19,2016,211W,15,Moderate,Yes ,Chisel,2,#329,60 to 90,2017-03-23 00:00:00,0.82,0.07,,,0.9,7.9
20,2016,213W,3,Moderate,No,Chisel,2,#349,60 to 90,2017-03-23 00:00:00,1.62,0.11,,,1,7.9
21,2016,216W,14,,Yes ,Chisel,2,#379,60 to 90,2017-03-23 00:00:00,1.07,0.1,,,1.4,7.2
22,2016,301W,15,Moderate,Yes ,Chisel,3,#449,60 to 90,2017-03-23 00:00:00,1.14,0.1,,,1.1,7.4
23,2016,304W,4,Moderate,No,No-till,3,#459,60 to 90,2017-03-23 00:00:00,1.17,0.08,,,1.1,7.9
24,2016,305W,3,Moderate,No,Chisel,3,#489,60 to 90,2017-03-23 00:00:00,1.46,0.09,,,1.1,7.6
25,2016,307W,5,High,No,Chisel,3,#509,60 to 90,2017-03-23 00:00:00,1.48,0.12,,,1,8
26,2016,311W,17,High,Yes ,Chisel,3,#549,60 to 90,2017-03-23 00:00:00,0.23,0.04,< 0.03,0.23,1,7.9
27,2016,312W,18,High,Yes ,Chisel,3,#559,60 to 90,2017-03-23 00:00:00,0.45,0.06,0.09,0.36,1.1,7.9
28,2016,315W,14,,Yes ,Chisel,3,#589,60 to 90,2017-03-23 00:00:00,0.66,0.06,0.3,0.35,,
29,2016,319W,16,Moderate,Yes ,Chisel,3,#629,60 to 90,2017-03-23 00:00:00,1.71,0.08,1.44,0.27,,
30,2016,320W,13,,Yes ,Chisel,3,#639,60 to 90,2017-03-23 00:00:00,2.02,0.07,1.56,0.46,,
31,2016,321W,6,High,No,No-till,3,#649,60 to 90,2017-03-23 00:00:00,0.45,0.07,0.03,0.42,,
32,2016,322W,1,,No,Chisel,3,#659,60 to 90,2017-03-23 00:00:00,0.65,0.06,< 0.03,0.64,,
33,2016,402W,5,High,No,Chisel,4,#679,60 to 90,2017-03-23 00:00:00,0.85,0.1,< 0.03,0.84,,
34,2016,403W,16,Moderate,Yes ,Chisel,4,#689,60 to 90,2017-03-23 00:00:00,0.63,0.06,0.13,0.51,,
35,2016,405W,3,Moderate,No,Chisel,4,#709,60 to 90,2017-03-23 00:00:00,0.86,0.07,< 0.03,0.85,,
36,2016,406W,18,High,Yes ,Chisel,4,#719,60 to 90,2017-03-23 00:00:00,0.93,0.08,0.03,0.89,,
37,2016,407W,17,High,Yes ,Chisel,4,#729,60 to 90,2017-03-23 00:00:00,1.71,0.05,1.53,0.18,,
38,2016,411W,6,High,No,No-till,4,#769,60 to 90,2017-03-23 00:00:00,0.41,0.06,< 0.03,0.4,,
39,2016,413W,14,,Yes ,Chisel,4,#789,60 to 90,2017-03-23 00:00:00,1.35,0.08,0.9,0.45,,
40,2016,414W,4,Moderate,No,No-till,4,#799,60 to 90,2017-03-23 00:00:00,1.34,0.1,0.23,1.11,,
41,2016,418W,15,Moderate,Yes ,Chisel,4,#839,60 to 90,2017-03-23 00:00:00,0.23,0.06,0.04,0.19,,
42,2016,419W,13,,Yes ,Chisel,4,#849,60 to 90,2017-03-23 00:00:00,2.42,0.04,2.17,0.24,,
43,2016,420W,1,,No,Chisel,4,#859,60 to 90,.,.,.,.,.,,
