,Year,Plot Num,Treatment Num,Stover Harvest,BioChar History,Tillage,Depth,Replicate,Bulk Density ,TotalC.perc,TotalN.perc,InorganicC.perc,OrgC.perc,pH
0,2012,115E,1,,No,Chisel,90 to 120,1,1.628700456862231,0.25,0.04,0.04,0.21,7.6
1,2012,110E,3,Moderate,No,Chisel,90 to 120,1,1.944164894013338,2.08,0.02,1.94,0.14,8.2
2,2012,116E,4,Moderate,No,No-till,90 to 120,1,1.6591075771302761,0.37,0.03,0.11,0.26,7.8
3,2012,119E,5,High,No,Chisel,90 to 120,1,1.6242438883357984,1.14,0.05,0.42,0.72,7.7
4,2012,120E,6,High,No,No-till,90 to 120,1,1.6533832803782742,1.06,0.04,0.73,0.33,7.7
5,2012,103E,13,,Yes ,Chisel,90 to 120,1,1.5536407152025202,0.27,0.04,< 0.03,0.25,7.8
6,2012,117E,14,,Yes ,Chisel,90 to 120,1,1.6801961398823209,1.15,0.04,0.71,0.44,8.2
7,2012,107E,15,Moderate,Yes ,Chisel,90 to 120,1,1.8689902415252904,1.92,0.03,2.06,0.0,8.3
8,2012,104E,16,Moderate,Yes ,Chisel,90 to 120,1,1.8184104870104394,0.61,0.04,0.35,0.26,7.9
9,2012,109E,17,High,Yes ,Chisel,90 to 120,1,1.7308920614098278,2.21,0.03,2.53,0.0,8.3
10,2012,101E,18,High,Yes ,Chisel,90 to 120,1,1.7088047150540215,1.92,0.04,1.82,0.1,8.1
11,2012,208E,1,Moderate,No,Chisel,90 to 120,2,1.7772668370264129,2.01,0.05,1.9,0.10999999999999988,8.4
12,2012,213E,3,Moderate,No,No-till,90 to 120,2,1.8594768914748494,1.76,0.03,1.71,0.050000000000000044,8.0
13,2012,206E,4,High,No,Chisel,90 to 120,2,1.7238486772460468,0.48,0.06,0.18,0.3,7.9
14,2012,207E,5,High,No,No-till,90 to 120,2,1.9446884454336275,2.19,0.04,2.12,0.06999999999999984,8.3
15,2012,201E,6,,Yes ,Chisel,90 to 120,2,1.8461450720221673,2.23,0.05,1.98,0.25,8.2
16,2012,202E,13,High,Yes ,Chisel,90 to 120,2,1.6967193349151812,2.17,0.03,1.87,0.2999999999999998,8.3
17,2012,202E,13,,Yes ,Chisel,90 to 120,2,1.6967193349151812,2.17,0.03,1.87,0.2999999999999998,8.3
18,2012,216E,14,Moderate,Yes ,Chisel,90 to 120,2,1.736590158744554,0.51,0.04,0.37,0.14,8.0
19,2012,211E,15,Moderate,Yes ,Chisel,90 to 120,2,1.8670327866823713,2.14,0.03,1.94,0.20000000000000018,8.4
20,2012,204E,16,High,Yes ,Chisel,90 to 120,2,1.8680734108738453,2.26,0.04,2.04,0.21999999999999975,8.4
21,2012,205E,18,High,Yes ,Chisel,90 to 120,2,1.827604210877731,1.87,0.07,1.76,0.1100000000000001,8.3
22,2012,322E,1,,No,Chisel,90 to 120,3,1.9897045870510288,0.12,0.02,< 0.03,0.11,7.7
23,2012,305E,3,Moderate,No,Chisel,90 to 120,3,1.7218137206041948,0.4,0.02,0.13,,7.5
24,2012,304E,4,Moderate,No,No-till,90 to 120,3,1.5323191219461374,2.88,0.04,2.73,,8.1
25,2012,307E,5,High,No,Chisel,90 to 120,3,1.744939568754898,0.27,0.04,< 0.03,0.27,7.4
26,2012,321E,6,High,No,No-till,90 to 120,3,1.7319204294739592,2.36,0.03,2.26,,8.4
27,2012,320E,13,,Yes ,Chisel,90 to 120,3,1.7746506564550106,2.19,0.03,1.99,,8.4
28,2012,315E,14,,Yes ,Chisel,90 to 120,3,1.867355999496761,2.21,0.03,2.01,,8.3
29,2012,301E,15,Moderate,Yes ,Chisel,90 to 120,3,1.7096687817201996,2.62,0.03,2.39,,8.2
30,2012,319E,16,Moderate,Yes ,Chisel,90 to 120,3,1.7789017864427104,2.28,0.05,1.98,,8.3
31,2012,311E,17,High,Yes ,Chisel,90 to 120,3,1.890147438815625,1.76,0.03,1.6,,8.3
32,2012,312E,18,High,Yes ,Chisel,90 to 120,3,1.6917388214737628,2.06,0.03,2.02,,8.2
33,2012,420E,1,,No,Chisel,90 to 120,4,1.981775611669673,2.04,0.03,1.93,0.11,8.4
34,2012,405E,3,Moderate,No,Chisel,90 to 120,4,1.6892092287254583,0.57,0.04,0.36,0.21,7.8
35,2012,414E,4,Moderate,No,No-till,90 to 120,4,1.7497942063425869,1.77,0.04,1.67,0.1,8.3
36,2012,402E,5,High,No,Chisel,90 to 120,4,1.7136984594129596,0.65,0.04,0.42,0.23,7.8
37,2012,411E,6,High,No,No-till,90 to 120,4,1.9752117947037773,2.02,0.03,1.84,0.18,8.4
38,2012,419E,13,,Yes ,Chisel,90 to 120,4,1.762234647593254,0.7,0.04,0.48,0.22,8.0
39,2012,413E,14,,Yes ,Chisel,90 to 120,4,1.400422166529691,1.47,0.04,1.32,0.15,8.2
40,2012,418E,15,Moderate,Yes ,Chisel,90 to 120,4,1.6921595654877362,1.59,0.03,1.47,0.12,8.3
41,2012,403E,16,Moderate,Yes ,Chisel,90 to 120,4,1.7963952671322871,1.49,0.04,1.27,0.22,8.3
42,2012,407E,17,High,Yes ,Chisel,90 to 120,4,1.6223449482327619,1.12,0.04,0.81,0.31,8.1
43,2012,406E,18,High,Yes ,Chisel,90 to 120,4,1.65662759959403,0.58,0.04,0.33,0.25,8.0
