,Year,Plot Num,Treatment Num,Stover Harvest,BioChar History,Tillage,Depth,Replicate,Bulk Density ,TotalC.perc,TotalN.perc,InorganicC.perc,OrgC.perc,pH
0,2012,115W,1,,No,Chisel,60 to 90,1,1.598195314346655,0.96,0.06,0.59,0.37,7.6
1,2012,110W,3,Moderate,No,Chisel,60 to 90,1,1.4893011715953353,0.57,0.04,0.05,0.52,7.4
2,2012,116W,4,Moderate,No,No-till,60 to 90,1,1.6217575716353623,0.36,0.05,< 0.03,0.36,7.2
3,2012,119W,5,High,No,Chisel,60 to 90,1,1.504702094465166,0.54,0.07,< 0.03,0.54,6.8
4,2012,120W,6,High,No,No-till,60 to 90,1,1.525575621968744,0.48,0.06,< 0.03,0.48,6.3
5,2012,103W,13,,Yes ,Chisel,60 to 90,1,1.3459792452416777,1.79,0.13,< 0.03,1.79,7.4
6,2012,117W,14,,Yes ,Chisel,60 to 90,1,1.602053832968015,0.39,0.05,< 0.03,0.39,7.2
7,2012,107W,15,Moderate,Yes ,Chisel,60 to 90,1,1.4964853097745192,0.45,0.07,< 0.03,0.43,7.4
8,2012,104W,16,Moderate,Yes ,Chisel,60 to 90,1,1.4810104785132614,0.5,0.06,< 0.03,0.5,7.5
9,2012,109W,17,High,Yes ,Chisel,60 to 90,1,1.5902445771113856,0.43,0.02,0.03,0.4,7.3
10,2012,101W,18,High,Yes ,Chisel,60 to 90,1,1.6602495741821204,2.11,0.05,1.9,0.21,8.1
11,2012,208W,1,Moderate,No,Chisel,60 to 90,2,1.5094332420200212,0.75,0.06,0.34,0.41,7.6
12,2012,213W,3,Moderate,No,No-till,60 to 90,2,1.539494995775241,0.6,0.05,0.25,0.35,7.5
13,2012,206W,4,High,No,Chisel,60 to 90,2,1.5802784283959883,0.48,0.05,< 0.03,0.48,6.9
14,2012,207W,5,High,No,No-till,60 to 90,2,1.3285920149497001,0.62,0.07,< 0.03,0.62,6.7
15,2012,201W,6,,Yes ,Chisel,60 to 90,2,1.5893877926852948,0.54,0.07,0.05,0.49000000000000005,7.5
16,2012,202W,13,High,Yes ,Chisel,60 to 90,2,1.4736894007387356,0.61,0.08,0.04,0.57,7.5
17,2012,202W,13,,Yes ,Chisel,60 to 90,2,1.4736894007387356,0.61,0.08,0.04,0.57,7.5
18,2012,216W,14,Moderate,Yes ,Chisel,60 to 90,2,1.581025567510802,0.67,0.06,< 0.03,0.67,7.3
19,2012,211W,15,Moderate,Yes ,Chisel,60 to 90,2,1.54152695569235,0.7,0.04,0.31,0.38999999999999996,7.4
20,2012,204W,16,High,Yes ,Chisel,60 to 90,2,1.5489503339869657,0.89,0.07,0.4,0.49,7.9
21,2012,205W,18,High,Yes ,Chisel,60 to 90,2,1.4075655076999571,0.71,0.1,< 0.03,0.71,6.1
22,2012,322W,1,,No,Chisel,60 to 90,3,1.640999903284798,0.23,0.03,< 0.03,0.21,7.6
23,2012,305W,3,Moderate,No,Chisel,60 to 90,3,1.5663117801600943,1.85,0.03,1.63,,8.2
24,2012,304W,4,Moderate,No,No-till,60 to 90,3,1.6175325487141812,2.37,0.04,1.94,,8.2
25,2012,307W,5,High,No,Chisel,60 to 90,3,1.4752364724467775,0.64,0.04,0.19,,7.7
26,2012,321W,6,High,No,No-till,60 to 90,3,1.699230740559003,2.06,0.04,1.98,,8.0
27,2012,320W,13,,Yes ,Chisel,60 to 90,3,1.6833008684374302,2.74,0.03,2.42,,8.3
28,2012,315W,14,,Yes ,Chisel,60 to 90,3,1.4760728040869986,1.18,0.04,0.83,,7.9
29,2012,301W,15,Moderate,Yes ,Chisel,60 to 90,3,1.5828770123364733,0.39,0.04,0.05,,7.4
30,2012,319W,16,Moderate,Yes ,Chisel,60 to 90,3,1.5534906915529398,0.24,0.05,< 0.03,0.22,7.5
31,2012,311W,17,High,Yes ,Chisel,60 to 90,3,1.569156478266996,0.62,0.06,0.23,,7.5
32,2012,312W,18,High,Yes ,Chisel,60 to 90,3,1.4570596926100057,2.74,0.06,2.51,,8.0
33,2012,420W,1,,No,Chisel,60 to 90,4,1.589413302051657,1.39,0.04,1.24,0.15,8.2
34,2012,405W,3,Moderate,No,Chisel,60 to 90,4,1.3562223722214664,1.04,0.08,< 0.03,1.04,7.3
35,2012,414W,4,Moderate,No,No-till,60 to 90,4,1.6181486442537467,2.6,0.05,2.42,0.18,8.4
36,2012,402W,5,High,No,Chisel,60 to 90,4,1.5937249845074586,0.42,0.04,0.11,0.31,7.4
37,2012,411W,6,High,No,No-till,60 to 90,4,1.6432048193610191,0.38,0.05,< 0.03,0.38,7.3
38,2012,419W,13,,Yes ,Chisel,60 to 90,4,1.6422577324889926,1.98,0.04,1.87,0.11,8.3
39,2012,413W,14,,Yes ,Chisel,60 to 90,4,1.5436877042072894,0.47,0.06,< 0.03,0.46,7.1
40,2012,418W,15,Moderate,Yes ,Chisel,60 to 90,4,1.6754992807503084,2.3,0.05,2.02,0.28,8.4
41,2012,403W,16,Moderate,Yes ,Chisel,60 to 90,4,1.5102873916511481,0.59,0.05,0.17,0.42,7.7
42,2012,407W,17,High,Yes ,Chisel,60 to 90,4,1.5902810305378419,0.49,0.04,0.22,0.27,7.7
43,2012,406W,18,High,Yes ,Chisel,60 to 90,4,1.5044725823540084,0.61,0.06,< 0.03,0.61,7.1
