,Year,Plot Num,Treatment Num,Stover Harvest,BioChar History,Tillage,Depth,Replicate,Bulk Density ,TotalC.perc,TotalN.perc,InorganicC.perc,OrgC.perc,pH
0,2012,115W,1,,No,Chisel,0 to 15,1,1.4900770717873901,1.48,0.12,,,5.0
1,2012,110W,3,Moderate,No,Chisel,0 to 15,1,1.4172136731346927,2.58,0.18,,,6.1
2,2012,116W,4,Moderate,No,No-till,0 to 15,1,1.57499838685751,1.88,0.17,,,5.5
3,2012,119W,5,High,No,Chisel,0 to 15,1,1.597694160511608,1.7,0.17,,,4.6
4,2012,120W,6,High,No,No-till,0 to 15,1,1.4752581657189734,1.81,0.16,,,5.4
5,2012,103W,13,,Yes ,Chisel,0 to 15,1,1.5601608709250374,2.35,0.14,,2.35,5.6
6,2012,117W,14,,Yes ,Chisel,0 to 15,1,1.5204290409103136,2.09,0.15,,,6.5
7,2012,107W,15,Moderate,Yes ,Chisel,0 to 15,1,1.3140475889405407,2.85,0.2,,2.85,5.7
8,2012,104W,16,Moderate,Yes ,Chisel,0 to 15,1,1.383479722615132,2.55,0.16,,2.55,5.8
9,2012,109W,17,High,Yes ,Chisel,0 to 15,1,1.5547965273264812,2.54,0.16,,2.54,6.5
10,2012,101W,18,High,Yes ,Chisel,0 to 15,1,1.5307987714189761,2.4,0.17,,2.4,5.6
11,2012,208W,1,Moderate,No,Chisel,0 to 15,2,1.545926311672589,1.93,0.16,,1.93,5.9
12,2012,213W,3,Moderate,No,No-till,0 to 15,2,1.4413266005092444,2.58,0.22,,2.58,4.8
13,2012,206W,4,High,No,Chisel,0 to 15,2,1.4714128876833292,2.18,0.2,,2.18,5.2
14,2012,207W,5,High,No,No-till,0 to 15,2,1.5086685593572013,2.0,0.19,,2.0,6.2
15,2012,201W,6,,Yes ,Chisel,0 to 15,2,1.493295235191157,2.78,0.22,,2.78,6.0
16,2012,202W,13,High,Yes ,Chisel,0 to 15,2,1.3695976550141697,2.82,0.23,,2.82,5.0
17,2012,202W,13,,Yes ,Chisel,0 to 15,2,1.3695976550141697,2.82,0.23,,2.82,5.0
18,2012,216W,14,Moderate,Yes ,Chisel,0 to 15,2,1.41771769789921,3.15,0.23,,3.15,5.4
19,2012,211W,15,Moderate,Yes ,Chisel,0 to 15,2,1.4787889762697943,2.07,0.15,,2.07,5.7
20,2012,204W,16,High,Yes ,Chisel,0 to 15,2,1.6102509864405319,1.93,0.16,,1.93,5.7
21,2012,205W,18,High,Yes ,Chisel,0 to 15,2,1.4170463515676166,2.2,0.18,,2.2,5.2
22,2012,322W,1,,No,Chisel,0 to 15,3,1.5779502551505626,2.0,0.15,,,5.4
23,2012,305W,3,Moderate,No,Chisel,0 to 15,3,1.4822783367432355,2.16,0.15,,,6.6
24,2012,304W,4,Moderate,No,No-till,0 to 15,3,1.5179075341536683,1.89,0.15,,,5.8
25,2012,307W,5,High,No,Chisel,0 to 15,3,1.4063496204130583,2.48,0.18,,,5.7
26,2012,321W,6,High,No,No-till,0 to 15,3,1.540001261721665,1.64,0.15,,,5.1
27,2012,320W,13,,Yes ,Chisel,0 to 15,3,1.4300399262457686,1.86,0.14,,,5.9
28,2012,315W,14,,Yes ,Chisel,0 to 15,3,1.6253616603043812,2.16,0.15,,,5.4
29,2012,301W,15,Moderate,Yes ,Chisel,0 to 15,3,1.3721507441102339,2.26,0.17,,,6.2
30,2012,319W,16,Moderate,Yes ,Chisel,0 to 15,3,1.4923258100665322,2.66,0.19,,,6.4
31,2012,311W,17,High,Yes ,Chisel,0 to 15,3,1.492611253586163,2.3,0.17,,,5.8
32,2012,312W,18,High,Yes ,Chisel,0 to 15,3,1.3380640467521183,2.24,0.17,,,5.9
33,2012,420W,1,,No,Chisel,0 to 15,4,1.4856277154702158,1.95,0.17,,,5.9
34,2012,405W,3,Moderate,No,Chisel,0 to 15,4,1.39518151610381,2.8,0.21,,,5.3
35,2012,414W,4,Moderate,No,No-till,0 to 15,4,1.6093297557622033,1.95,0.16,,,5.4
36,2012,402W,5,High,No,Chisel,0 to 15,4,1.42302345561003,1.93,0.17,,,5.1
37,2012,411W,6,High,No,No-till,0 to 15,4,1.4856549614017203,2.49,0.19,,,4.4
38,2012,419W,13,,Yes ,Chisel,0 to 15,4,1.4163751075010396,1.86,0.15,,,6.7
39,2012,413W,14,,Yes ,Chisel,0 to 15,4,1.1180308915053463,2.76,0.19,,,5.7
40,2012,418W,15,Moderate,Yes ,Chisel,0 to 15,4,1.5750816645397698,1.71,0.15,,,6.9
41,2012,403W,16,Moderate,Yes ,Chisel,0 to 15,4,1.521548077315407,2.37,0.19,,,4.8
42,2012,407W,17,High,Yes ,Chisel,0 to 15,4,1.4794395320259823,1.83,0.14,,,5.5
43,2012,406W,18,High,Yes ,Chisel,0 to 15,4,1.3153157909700457,2.75,0.19,,,5.9
