,Year,Plot Num,Treatment Num,Stover Harvest,BioChar History,Tillage,Replicate,Sample Num,Depth,Collect Date,TotalC.perc,TotalN.perc,InorganicC.perc,OrgC.perc,OrganicMatter.perc,pH
0,2016,101E,18,High,Yes ,Chisel,1,#5,90 to 120,2017-03-23 00:00:00,2.08,0.04,1.78,0.3,0.8,8.3
1,2016,103E,13,,Yes ,Chisel,1,#25,90 to 120,2017-03-23 00:00:00,2.3,0.16,,,1.5,8.1
2,2016,104E,16,Moderate,Yes ,Chisel,1,#35,90 to 120,2017-03-23 00:00:00,3.16,0.2,,,1,8
3,2016,107E,15,Moderate,Yes ,Chisel,1,#65,90 to 120,2017-03-23 00:00:00,3.08,0.23,,,0.8,8.4
4,2016,109E,17,High,Yes ,Chisel,1,#85,90 to 120,2017-03-23 00:00:00,2.13,0.16,,,0.9,8.2
5,2016,110E,3,Moderate,No,Chisel,1,#95,90 to 120,2017-03-23 00:00:00,2.42,0.18,,,0.9,8.4
6,2016,115E,1,,No,Chisel,1,#145,90 to 120,2017-03-23 00:00:00,1.22,0.12,,,1.1,7.9
7,2016,116E,4,Moderate,No,No-till,1,#155,90 to 120,2017-03-23 00:00:00,1.25,0.12,,,0.8,8.4
8,2016,117E,14,,Yes ,Chisel,1,#165,90 to 120,2017-03-23 00:00:00,1,0.09,,,0.8,7.9
9,2016,119E,5,High,No,Chisel,1,#185,90 to 120,2017-03-23 00:00:00,1.16,0.11,,,0.8,8.1
10,2016,120E,6,High,No,No-till,1,#195,90 to 120,2017-03-23 00:00:00,1.4,0.17,,,0.7,8
11,2016,201E,6,High,No,No-till,2,#225,90 to 120,2017-03-23 00:00:00,1.2,0.09,,,0.6,8.2
12,2016,202E,13,,Yes ,Chisel,2,#235,90 to 120,2017-03-23 00:00:00,1.19,0.1,,,0.5,8.1
13,2016,204E,16,Moderate,Yes ,Chisel,2,#255,90 to 120,2017-03-23 00:00:00,1.72,0.14,,,0.7,8.2
14,2016,205E,18,High,Yes ,Chisel,2,#265,90 to 120,2017-03-23 00:00:00,1.74,0.17,,,0.6,8.2
15,2016,206E,4,Moderate,No,No-till,2,#275,90 to 120,2017-03-23 00:00:00,0.88,0.11,,,0.9,8
16,2016,207E,5,High,No,Chisel,2,#285,90 to 120,2017-03-23 00:00:00,0.88,0.1,,,0.6,8.4
17,2016,208E,14,High,Yes ,Chisel,2,#295,90 to 120,2017-03-23 00:00:00,1.38,0.06,0.9,0.48,0.8,8.2
18,2016,210E,17,High,Yes ,Chisel,2,#315,90 to 120,2017-03-23 00:00:00,0.44,0.03,0.2,0.24,0.6,8.5
19,2016,211E,15,Moderate,Yes ,Chisel,2,#325,90 to 120,2017-03-23 00:00:00,0.66,0.04,0.37,0.29,0.6,8.4
20,2016,213E,3,Moderate,No,Chisel,2,#345,90 to 120,2017-03-23 00:00:00,1.19,0.04,0.78,0.4,0.6,8.3
