,Year,Plot Num,Treatment Num,Stover Harvest,BioChar History,Tillage,Depth,Replicate,Bulk Density ,TotalC.perc,TotalN.perc,InorganicC.perc,OrgC.perc,pH
0,2012,115W,1,,No,Chisel,15 to 30,1,1.6965543879910188,1.59,0.13,,,5.3
1,2012,110W,3,Moderate,No,Chisel,15 to 30,1,1.532171838639977,2.32,0.13,,,6.4
2,2012,116W,4,Moderate,No,No-till,15 to 30,1,1.706962851245962,1.74,0.15,,,5.8
3,2012,119W,5,High,No,Chisel,15 to 30,1,1.5824043676116746,1.73,0.14,,,5.2
4,2012,120W,6,High,No,No-till,15 to 30,1,1.586516289883003,1.83,0.15,,,6.1
5,2012,103W,13,,Yes ,Chisel,15 to 30,1,1.741784185615992,1.54,0.11,,1.54,7.1
6,2012,117W,14,,Yes ,Chisel,15 to 30,1,1.6420343124136882,1.68,0.14,,,6.3
7,2012,107W,15,Moderate,Yes ,Chisel,15 to 30,1,1.6541155062476995,1.86,0.14,,1.86,6.4
8,2012,104W,16,Moderate,Yes ,Chisel,15 to 30,1,1.3674180211647222,2.09,0.14,,2.09,6.5
9,2012,109W,17,High,Yes ,Chisel,15 to 30,1,1.5530656550304194,2.36,0.14,,2.36,6.5
10,2012,101W,18,High,Yes ,Chisel,15 to 30,1,1.7245850493029702,1.01,0.1,,1.01,7.0
11,2012,208W,1,Moderate,No,Chisel,15 to 30,2,1.5538163653282397,1.85,0.16,,1.85,5.8
12,2012,213W,3,Moderate,No,No-till,15 to 30,2,1.4235518403209266,1.91,0.15,,1.91,5.7
13,2012,206W,4,High,No,Chisel,15 to 30,2,1.6037584783374992,1.85,0.14,,1.85,5.5
14,2012,207W,5,High,No,No-till,15 to 30,2,1.5378409078172994,1.92,0.16,,1.92,6.0
15,2012,201W,6,,Yes ,Chisel,15 to 30,2,1.554981200872264,2.58,0.2,,2.58,6.4
16,2012,202W,13,High,Yes ,Chisel,15 to 30,2,1.5663722289434105,2.39,0.18,,2.39,6.0
17,2012,202W,13,,Yes ,Chisel,15 to 30,2,1.5663722289434105,2.39,0.18,,2.39,6.0
18,2012,216W,14,Moderate,Yes ,Chisel,15 to 30,2,1.4970140263159748,3.58,0.26,,3.58,6.0
19,2012,211W,15,Moderate,Yes ,Chisel,15 to 30,2,1.5499633485288677,1.35,0.12,,1.35,5.4
20,2012,204W,16,High,Yes ,Chisel,15 to 30,2,1.3584275933023962,1.63,0.15,,1.63,5.8
21,2012,205W,18,High,Yes ,Chisel,15 to 30,2,1.5537830057498059,2.29,0.2,,2.29,5.4
22,2012,322W,1,,No,Chisel,15 to 30,3,1.7649942065003092,1.8,0.12,,,5.8
23,2012,305W,3,Moderate,No,Chisel,15 to 30,3,1.5706016268451435,1.76,0.12,,,7.1
24,2012,304W,4,Moderate,No,No-till,15 to 30,3,1.7069308035161495,1.82,0.14,,,6.1
25,2012,307W,5,High,No,Chisel,15 to 30,3,1.7404631649774152,1.67,0.13,,,6.9
26,2012,321W,6,High,No,No-till,15 to 30,3,1.6169815064164776,1.89,0.09,,,7.0
27,2012,320W,13,,Yes ,Chisel,15 to 30,3,1.5939876502818424,1.27,0.1,,,6.4
28,2012,315W,14,,Yes ,Chisel,15 to 30,3,1.60540952334913,1.93,0.17,,,5.8
29,2012,301W,15,Moderate,Yes ,Chisel,15 to 30,3,1.7300196406071797,2.05,0.16,,,6.2
30,2012,319W,16,Moderate,Yes ,Chisel,15 to 30,3,1.5805404516473753,1.83,0.16,,,5.9
31,2012,311W,17,High,Yes ,Chisel,15 to 30,3,1.6674142893749888,1.89,0.14,,,5.4
32,2012,312W,18,High,Yes ,Chisel,15 to 30,3,1.6542764910696361,1.76,0.15,,,6.0
33,2012,420W,1,,No,Chisel,15 to 30,4,1.6408581191791547,1.62,0.14,,,6.3
34,2012,405W,3,Moderate,No,Chisel,15 to 30,4,1.5908871517045946,2.56,0.17,,,5.9
35,2012,414W,4,Moderate,No,No-till,15 to 30,4,1.7015679147910303,1.46,0.15,,,5.7
36,2012,402W,5,High,No,Chisel,15 to 30,4,1.6054716673133584,1.8,0.14,,,5.3
37,2012,411W,6,High,No,No-till,15 to 30,4,1.5527209314010606,1.95,0.14,,,5.9
38,2012,419W,13,,Yes ,Chisel,15 to 30,4,1.627766405740677,1.29,0.12,,,7.1
39,2012,413W,14,,Yes ,Chisel,15 to 30,4,1.5953258509840254,2.06,0.17,,,5.4
40,2012,418W,15,Moderate,Yes ,Chisel,15 to 30,4,1.6967161811408513,1.08,0.08,,,7.2
41,2012,403W,16,Moderate,Yes ,Chisel,15 to 30,4,1.6139727245875177,1.74,0.13,,,6.1
42,2012,407W,17,High,Yes ,Chisel,15 to 30,4,1.7897049625289918,1.81,0.14,,,6.2
43,2012,406W,18,High,Yes ,Chisel,15 to 30,4,1.5819317832956754,2.55,0.18,,,5.7
