,Year,Plot Num,Treatment Num,Stover Harvest,BioChar History,Tillage,Replicate,Sample Num,Depth,Collect Date,TotalC.perc,TotalN.perc,InorganicC.perc,OrgC.perc,OrganicMatter.perc,pH
0,2016,101E,18,High,Yes ,Chisel,1,#4,60 to 90,2017-03-23 00:00:00,1.17,0.04,0.89,0.28,1.2,8.2
1,2016,103E,13,,Yes ,Chisel,1,#24,60 to 90,2017-03-23 00:00:00,0.32,0.05,0.06,0.26,2.1,7.7
2,2016,104E,16,Moderate,Yes ,Chisel,1,#34,60 to 90,2017-03-23 00:00:00,0.64,0.05,0.48,0.16,1.4,7.6
3,2016,107E,15,Moderate,Yes ,Chisel,1,#64,60 to 90,2017-03-23 00:00:00,2.24,0.04,2.19,0.05,1,8.2
4,2016,109E,17,High,Yes ,Chisel,1,#84,60 to 90,2017-03-23 00:00:00,2.92,0.22,,,1.1,8.2
5,2016,110E,3,Moderate,No,Chisel,1,#94,60 to 90,2017-03-23 00:00:00,2.68,0.22,,,1.1,8.2
6,2016,115E,1,,No,Chisel,1,#144,60 to 90,2017-03-23 00:00:00,1.6,0.13,,,1.3,7
7,2016,116E,4,Moderate,No,No-till,1,#154,60 to 90,2017-03-23 00:00:00,2.07,0.18,,,1.1,7.8
8,2016,117E,14,,Yes ,Chisel,1,#164,60 to 90,2017-03-23 00:00:00,1.82,0.15,,,1.2,7.2
9,2016,119E,5,High,No,Chisel,1,#184,60 to 90,2017-03-23 00:00:00,2.16,0.16,,,1.2,7.3
10,2016,120E,6,High,No,No-till,1,#194,60 to 90,2017-03-23 00:00:00,2.08,0.18,,,1,7.1
11,2016,201E,6,High,No,No-till,2,#224,60 to 90,2017-03-23 00:00:00,2.72,0.2,,,0.9,8.1
12,2016,202E,13,,Yes ,Chisel,2,#234,60 to 90,2017-03-23 00:00:00,2.68,0.19,,,0.9,7.8
13,2016,204E,16,Moderate,Yes ,Chisel,2,#254,60 to 90,2017-03-23 00:00:00,2.01,0.16,,,0.9,7.8
14,2016,205E,18,High,Yes ,Chisel,2,#264,60 to 90,2017-03-23 00:00:00,2.45,0.2,,,0.9,7.6
15,2016,206E,4,Moderate,No,No-till,2,#274,60 to 90,2017-03-23 00:00:00,1.77,0.17,,,0.7,7.2
16,2016,207E,5,High,No,Chisel,2,#284,60 to 90,2017-03-23 00:00:00,1.78,0.17,,,0.6,8.4
17,2016,208E,14,High,Yes ,Chisel,2,#294,60 to 90,2017-03-23 00:00:00,1.02,0.11,,,1,7.6
18,2016,210E,17,High,Yes ,Chisel,2,#314,60 to 90,2017-03-23 00:00:00,0.59,0.06,,,0.7,8.4
19,2016,211E,15,Moderate,Yes ,Chisel,2,#324,60 to 90,2017-03-23 00:00:00,0.81,0.07,,,0.9,8.1
20,2016,213E,3,Moderate,No,Chisel,2,#344,60 to 90,2017-03-23 00:00:00,1.07,0.08,,,1.1,7.5
21,2016,216E,14,,Yes ,Chisel,2,#374,60 to 90,2017-03-23 00:00:00,2.24,0.15,,,1.5,7.2
22,2016,301E,15,Moderate,Yes ,Chisel,3,#444,60 to 90,2017-03-23 00:00:00,1.23,0.12,,,1,7.6
23,2016,304E,4,Moderate,No,No-till,3,#454,60 to 90,2017-03-23 00:00:00,1.14,0.1,,,0.8,7.6
24,2016,305E,3,Moderate,No,Chisel,3,#484,60 to 90,2017-03-23 00:00:00,1.15,0.08,,,1.1,7
25,2016,307E,5,High,No,Chisel,3,#504,60 to 90,2017-03-23 00:00:00,0.87,0.07,,,1.9,7.2
26,2016,311E,17,High,Yes ,Chisel,3,#544,60 to 90,2017-03-23 00:00:00,0.94,0.05,0.67,0.27,1.4,7.4
27,2016,312E,18,High,Yes ,Chisel,3,#554,60 to 90,2017-03-23 00:00:00,1.66,0.07,1.07,0.59,1.1,7.1
28,2016,315E,14,,Yes ,Chisel,3,#584,60 to 90,2017-03-23 00:00:00,1.93,0.06,1.54,0.39,,
29,2016,319E,16,Moderate,Yes ,Chisel,3,#624,60 to 90,2017-03-23 00:00:00,0.37,0.07,0.15,0.23,,
30,2016,320E,13,,Yes ,Chisel,3,#634,60 to 90,2017-03-23 00:00:00,2.76,0.06,2.34,0.43,,
31,2016,321E,6,High,No,No-till,3,#644,60 to 90,2017-03-23 00:00:00,3.1,0.06,2.27,0.82,,
32,2016,322E,1,,No,Chisel,3,#654,60 to 90,2017-03-23 00:00:00,0.38,0.07,0.04,0.35,,
33,2016,402E,5,High,No,Chisel,4,#674,60 to 90,2017-03-23 00:00:00,0.28,0.06,0.03,0.25,,
34,2016,403E,16,Moderate,Yes ,Chisel,4,#684,60 to 90,2017-03-23 00:00:00,0.81,0.06,0.28,0.53,,
35,2016,405E,3,Moderate,No,Chisel,4,#704,60 to 90,2017-03-23 00:00:00,0.6,0.06,< 0.03,0.59,,
36,2016,406E,18,High,Yes ,Chisel,4,#714,60 to 90,2017-03-23 00:00:00,0.85,0.08,< 0.03,0.83,,
37,2016,407E,17,High,Yes ,Chisel,4,#724,60 to 90,2017-03-23 00:00:00,0.88,0.06,0.46,0.41,,
38,2016,411E,6,High,No,No-till,4,#764,60 to 90,2017-03-23 00:00:00,0.48,0.05,0.03,0.44,,
39,2016,413E,14,,Yes ,Chisel,4,#784,60 to 90,2017-03-23 00:00:00,0.67,0.07,0.17,0.5,,
40,2016,414E,4,Moderate,No,No-till,4,#794,60 to 90,2017-03-23 00:00:00,1.73,0.06,1.2,0.52,,
41,2016,418E,15,Moderate,Yes ,Chisel,4,#834,60 to 90,2017-03-23 00:00:00,2.89,0.05,2.43,0.46,,
