,Year,Plot Num,Treatment Num,Stover Harvest,BioChar History,Tillage,Depth,Replicate,Bulk Density ,TotalC.perc,TotalN.perc,InorganicC.perc,OrgC.perc,pH
0,2012,115E,1,,No,Chisel,30 to 60,1,1.486422021539681,1.18,0.1,,,6.4
1,2012,110E,3,Moderate,No,Chisel,30 to 60,1,1.5544913337997226,0.79,0.05,,,6.7
2,2012,116E,4,Moderate,No,No-till,30 to 60,1,1.547915986038737,1.12,0.09,,,6.4
3,2012,119E,5,High,No,Chisel,30 to 60,1,1.4704600711318574,1.51,0.12,,,5.8
4,2012,120E,6,High,No,No-till,30 to 60,1,1.4895879856417473,1.34,0.12,,,6.0
5,2012,103E,13,,Yes ,Chisel,30 to 60,1,1.510879853862161,1.51,0.11,,1.51,7.0
6,2012,117E,14,,Yes ,Chisel,30 to 60,1,1.5097656529155723,1.23,0.1,,,6.6
7,2012,107E,15,Moderate,Yes ,Chisel,30 to 60,1,1.6250181928350005,0.71,0.07,,0.71,7.3
8,2012,104E,16,Moderate,Yes ,Chisel,30 to 60,1,1.5538326223039143,0.78,0.07,,0.78,7.2
9,2012,109E,17,High,Yes ,Chisel,30 to 60,1,1.5405074355852744,0.74,0.04,,0.74,7.2
10,2012,101E,18,High,Yes ,Chisel,30 to 60,1,1.573825984096053,0.7,0.08,,0.7,7.3
11,2012,208E,1,Moderate,No,Chisel,30 to 60,2,1.4704168519409115,1.28,0.12,,1.28,6.4
12,2012,213E,3,Moderate,No,No-till,30 to 60,2,1.5301632423250167,0.72,0.08,,0.72,5.6
13,2012,206E,4,High,No,Chisel,30 to 60,2,1.491643101988061,1.81,0.15,,1.81,6.7
14,2012,207E,5,High,No,No-till,30 to 60,2,1.567847861883789,0.93,0.09,,0.93,6.4
15,2012,201E,6,,Yes ,Chisel,30 to 60,2,1.5376600045577236,0.9,0.09,,0.9,6.9
16,2012,202E,13,High,Yes ,Chisel,30 to 60,2,1.5731155437399456,0.79,0.09,,0.79,7.1
17,2012,202E,13,,Yes ,Chisel,30 to 60,2,1.5731155437399456,0.79,0.09,,0.79,7.1
18,2012,216E,14,Moderate,Yes ,Chisel,30 to 60,2,1.4867370972493064,1.62,0.12,,1.62,6.7
19,2012,211E,15,Moderate,Yes ,Chisel,30 to 60,2,1.5951378616131482,0.88,0.09,,0.88,6.5
20,2012,204E,16,High,Yes ,Chisel,30 to 60,2,1.5578770255755423,0.57,0.08,,0.57,6.9
21,2012,205E,18,High,Yes ,Chisel,30 to 60,2,1.5517901481819074,0.88,0.1,,0.88,7.0
22,2012,322E,1,,No,Chisel,30 to 60,3,1.6327432553760706,1.3,0.08,,,6.8
23,2012,305E,3,Moderate,No,Chisel,30 to 60,3,1.5087603838949795,1.02,0.08,,,6.6
24,2012,304E,4,Moderate,No,No-till,30 to 60,3,1.563119885387761,1.19,0.09,,,6.5
25,2012,307E,5,High,No,Chisel,30 to 60,3,1.6007620143531536,1.33,0.06,,,6.7
26,2012,321E,6,High,No,No-till,30 to 60,3,1.5229742951002838,1.04,0.08,,,6.9
27,2012,320E,13,,Yes ,Chisel,30 to 60,3,1.4918964984275138,0.86,0.07,,,6.7
28,2012,315E,14,,Yes ,Chisel,30 to 60,3,1.569026700845214,0.89,0.09,,,6.5
29,2012,301E,15,Moderate,Yes ,Chisel,30 to 60,3,1.502352950568963,1.07,0.09,,,6.2
30,2012,319E,16,Moderate,Yes ,Chisel,30 to 60,3,1.5969034267970252,0.78,0.08,,,6.8
31,2012,311E,17,High,Yes ,Chisel,30 to 60,3,1.484499176634747,1.24,0.09,,,7.0
32,2012,312E,18,High,Yes ,Chisel,30 to 60,3,1.4671812691614592,0.92,0.09,,,6.3
33,2012,420E,1,,No,Chisel,30 to 60,4,1.644008860594898,1.3,0.07,,,7.9
34,2012,405E,3,Moderate,No,Chisel,30 to 60,4,1.4803661628718428,1.72,0.12,,,6.7
35,2012,414E,4,Moderate,No,No-till,30 to 60,4,1.4301733588753571,1.37,0.1,,,7.3
36,2012,402E,5,High,No,Chisel,30 to 60,4,1.4582022356848545,1.73,0.12,,,6.6
37,2012,411E,6,High,No,No-till,30 to 60,4,1.5923689896646616,0.78,0.08,,,7.4
38,2012,419E,13,,Yes ,Chisel,30 to 60,4,1.5254051312794827,0.66,0.06,,,7.1
39,2012,413E,14,,Yes ,Chisel,30 to 60,4,1.436572350843738,0.94,0.08,,,6.7
40,2012,418E,15,Moderate,Yes ,Chisel,30 to 60,4,1.5076318310008139,0.87,0.08,,,7.3
41,2012,403E,16,Moderate,Yes ,Chisel,30 to 60,4,1.2905018588645014,1.91,0.13,,,7.1
42,2012,407E,17,High,Yes ,Chisel,30 to 60,4,1.3912736527400085,1.91,0.14,,,6.8
43,2012,406E,18,High,Yes ,Chisel,30 to 60,4,1.4796506702949104,0.94,0.11,,,6.9
