,Year,Plot Num,Treatment Num,Stover Harvest,BioChar History,Tillage,Depth,Replicate,Collect Date,TotalC.perc,TotalN.perc,InorganicC.perc,OrgC.perc,OrganicMatter.perc,pH
0,2017,102,21,Moderate,No,No-Till,0 to 15,1,2018-07-09 00:00:00,2.67,0.22,,,3.4,7.1
1,2017,102,21,Moderate,No,No-Till,30 to 60,1,2018-07-09 00:00:00,1.28,0.12,,,2.3,6.9
2,2017,102,21,Moderate,No,No-Till,90 to 120,1,2018-07-09 00:00:00,0.24,0.07,0.08,0.16,0.8,7.9
3,2017,102,21,Moderate,No,No-Till,15 to 30,1,2018-07-09 00:00:00,1.44,0.14,0.05,1.39,2.3,7.6
4,2017,102,21,Moderate,No,No-Till,60 to 90,1,2018-07-09 00:00:00,1.43,0.03,1.33,0.1,0.8,8.1
5,2017,105,9,High,No,No-Till,0 to 15,1,2018-07-09 00:00:00,3.01,0.25,,,3.7,7.3
6,2017,105,9,High,No,No-Till,30 to 60,1,2018-07-09 00:00:00,0.96,0.09,,,2.2,7.1
7,2017,105,9,High,No,No-Till,90 to 120,1,2018-07-09 00:00:00,1.31,0.03,1.14,0.17,0.8,8.1
8,2017,105,9,High,No,No-Till,15 to 30,1,2018-07-09 00:00:00,2.59,0.2,,,3.7,6.7
9,2017,105,9,High,No,No-Till,60 to 90,1,2018-07-09 00:00:00,0.48,0.06,0.03,0.45,1.4,7.2
10,2017,106,2,High,No,No-Till,0 to 15,1,2018-07-09 00:00:00,3.11,0.25,,,3.5,7.0
11,2017,106,2,High,No,No-Till,30 to 60,1,2018-07-09 00:00:00,0.85,0.09,0.21,0.64,1.3,7.1
12,2017,106,2,High,No,No-Till,90 to 120,1,2018-07-09 00:00:00,2.38,0.05,1.89,0.49,0.7,8.2
13,2017,106,2,High,No,No-Till,15 to 30,1,2018-07-09 00:00:00,1.99,0.17,,,3.0,6.2
14,2017,106,2,High,No,No-Till,60 to 90,1,2018-07-09 00:00:00,0.79,0.05,0.54,0.25,1.0,7.7
15,2017,108,10,Moderate,No,No-Till,0 to 15,1,2018-07-09 00:00:00,2.43,0.21,,,3.2,6.3
16,2017,108,10,Moderate,No,No-Till,30 to 60,1,2018-07-09 00:00:00,0.93,0.1,,,1.8,6.5
17,2017,108,10,Moderate,No,No-Till,90 to 120,1,2018-07-09 00:00:00,2.17,0.04,2.11,0.06,0.7,8.2
18,2017,108,10,Moderate,No,No-Till,15 to 30,1,2018-07-09 00:00:00,1.67,0.15,,,2.6,6.5
19,2017,108,10,Moderate,No,No-Till,60 to 90,1,2018-07-09 00:00:00,0.21,0.05,,,0.9,7.3
20,2017,111,22,High,No,No-Till,0 to 15,1,2018-07-09 00:00:00,2.69,0.21,,,3.3,6.6
21,2017,111,22,High,No,No-Till,30 to 60,1,2018-07-09 00:00:00,1.15,0.1,,,2.3,6.4
22,2017,111,22,High,No,No-Till,90 to 120,1,2018-07-09 00:00:00,2.46,0.03,2.2,0.26,0.7,8.3
23,2017,111,22,High,No,No-Till,15 to 30,1,2018-07-09 00:00:00,2.46,0.18,,,3.8,5.9
24,2017,111,22,High,No,No-Till,60 to 90,1,2018-07-09 00:00:00,0.64,0.07,0.14,0.5,1.5,7.5
25,2017,112,19,Moderate,No,No-Till,0 to 15,1,2018-07-09 00:00:00,2.54,0.21,,,2.9,6.0
26,2017,112,19,Moderate,No,No-Till,30 to 60,1,2018-07-09 00:00:00,0.67,0.08,,,1.1,7.0
27,2017,112,19,Moderate,No,No-Till,90 to 120,1,2018-07-09 00:00:00,2.26,0.03,1.86,0.4,0.5,8.3
28,2017,112,19,Moderate,No,No-Till,15 to 30,1,2018-07-09 00:00:00,2.04,0.17,,,2.6,5.6
29,2017,112,19,Moderate,No,No-Till,60 to 90,1,2018-07-09 00:00:00,1.39,0.06,1.02,0.37,0.6,8.1
30,2017,113,20,High,No,No-Till,0 to 15,1,2018-07-09 00:00:00,2.62,0.19,,,3.2,7.3
31,2017,113,20,High,No,No-Till,30 to 60,1,2018-07-09 00:00:00,1.04,0.09,,,1.8,6.8
32,2017,113,20,High,No,No-Till,90 to 120,1,2018-07-09 00:00:00,0.57,0.05,0.42,0.15,0.8,8.0
33,2017,113,20,High,No,No-Till,15 to 30,1,2018-07-09 00:00:00,1.75,0.15,,,2.5,5.9
34,2017,113,20,High,No,No-Till,60 to 90,1,2018-07-09 00:00:00,0.49,0.05,,,1.0,7.2
35,2017,114,7,High,No,No-Till,0 to 15,1,2018-07-09 00:00:00,2.58,0.21,,,3.3,6.6
36,2017,114,7,High,No,No-Till,30 to 60,1,2018-07-09 00:00:00,1.59,0.11,,,2.6,6.3
37,2017,114,7,High,No,No-Till,90 to 120,1,2018-07-09 00:00:00,0.26,0.05,,,1.1,7.4
38,2017,114,7,High,No,No-Till,15 to 30,1,2018-07-09 00:00:00,1.68,0.14,,,2.5,5.6
39,2017,114,7,High,No,No-Till,60 to 90,1,2018-07-09 00:00:00,1.03,0.05,0.72,0.31,0.9,7.5
40,2017,118,11,High,No,No-Till,0 to 15,1,2018-07-09 00:00:00,2.59,0.23,,,3.4,6.0
41,2017,118,11,High,No,No-Till,30 to 60,1,2018-07-09 00:00:00,1.27,0.1,,,2.2,6.7
