year,month,10m_v_component_of_wind,surface_solar_radiation_downwards,2m_temperature,surface_thermal_radiation_downwards,surface_pressure,evaporation,10m_u_component_of_wind,total_precipitation
2024,5,-3.6252496,0.0,220.15173,87.95911,68138.12,-1.15719914e-07,-1.945119,7.020859e-05
2024,5,-3.6252496,0.0,220.15173,87.95911,68138.12,-1.15719914e-07,-1.945119,7.020859e-05
2024,5,-3.7073872,0.0,220.15236,87.9591,68138.12,-1.1572863e-07,-1.7831178,7.021097e-05
2024,5,-3.7073872,0.0,220.15236,87.9591,68138.12,-1.1572863e-07,-1.7831178,7.021097e-05
2024,5,-3.7827165,0.0,220.15292,87.959,68138.12,-1.1572741e-07,-1.6178212,7.021436e-05
2024,5,-3.7827165,0.0,220.15292,87.959,68138.12,-1.1572741e-07,-1.6178212,7.021436e-05
2024,5,-3.8560348,0.0,220.15982,87.95874,68138.12,-1.1589603e-07,-1.4506882,7.022057e-05
2024,5,-3.8560348,0.0,220.15982,87.95874,68138.12,-1.1589603e-07,-1.4506882,7.022057e-05
2024,5,-3.9258068,0.0,220.17105,87.95822,68138.12,-1.16180395e-07,-1.2811606,7.022775e-05
2024,5,-3.9258068,0.0,220.17105,87.95822,68138.12,-1.16180395e-07,-1.2811606,7.022775e-05
2024,5,-3.9798713,0.0,220.1714,87.958176,68138.12,-1.1615166e-07,-1.1073676,7.0228845e-05
2024,5,-3.9798713,0.0,220.1714,87.958176,68138.12,-1.1615166e-07,-1.1073676,7.0228845e-05
2024,5,-4.03497,0.0,220.18225,87.95766,68138.12,-1.1641465e-07,-0.9324756,7.023672e-05
2024,5,-4.03497,0.0,220.18225,87.95766,68138.12,-1.1641465e-07,-0.9324756,7.023672e-05
2024,5,-4.0741034,0.0,220.18239,87.95751,68138.12,-1.1637183e-07,-0.7547063,7.023789e-05
2024,5,-4.0741034,0.0,220.18239,87.95751,68138.12,-1.1637183e-07,-0.7547063,7.023789e-05
2024,5,-4.105576,0.0,220.18242,87.95735,68138.12,-1.1632349e-07,-0.5756422,7.023474e-05
2024,5,-4.105576,0.0,220.18242,87.95735,68138.12,-1.1632349e-07,-0.5756422,7.023474e-05
2024,5,-4.129294,0.0,220.18233,87.95719,68138.12,-1.1627111e-07,-0.39562964,7.023557e-05
2024,5,-4.129294,0.0,220.18233,87.95719,68138.12,-1.1627111e-07,-0.39562964,7.023557e-05
2024,5,-4.1275916,0.0,220.1598,87.9578,68138.12,-1.15582274e-07,-0.21628366,7.022779e-05
2024,5,-4.1275916,0.0,220.1598,87.9578,68138.12,-1.15582274e-07,-0.21628366,7.022779e-05
2024,5,-4.1356697,0.0,220.15953,87.95792,68138.12,-1.1552533e-07,-0.036191903,7.0223556e-05
2024,5,-4.1356697,0.0,220.15953,87.95792,68138.12,-1.1552533e-07,-0.036191903,7.0223556e-05
2024,5,-4.1953535,0.0,220.2344,87.955376,68138.12,-1.1760819e-07,0.15304083,7.02621e-05
2024,5,-4.1953535,0.0,220.2344,87.955376,68138.12,-1.1760819e-07,0.15304083,7.02621e-05
2024,5,-4.1869683,0.0,220.23398,87.955574,68138.12,-1.1755745e-07,0.3352738,7.026014e-05
