year,month,longitude,latitude,10m_u_component_of_wind,10m_v_component_of_wind,2m_temperature,evaporation,precipitation_type,total_precipitation,surface_pressure,surface_solar_radiation_downwards,surface_thermal_radiation_downwards,surface_net_solar_radiation,surface_net_thermal_radiation,snowfall,total_cloud_cover,2m_dewpoint_temperature,soil_temperature_level_1,volumetric_soil_water_layer_1
2014,1,40.475,17.215,-3.195741037751769,2.4449680882618754,298.66994717460454,-0.004336925077435859,0.32934659351013995,0.00036323759609326945,101269.93422302505,17533411.025162894,33063518.636702117,16571351.777928678,-6277427.527489967,0.0,0.24223680525652963,294.39599787824574,299.69680726292603,4.8869703833287926e-06
2014,2,40.475,17.215,-1.3462267012659652,0.391818432184126,298.41409456131595,-0.0034726331863833325,0.2648906371599042,0.00018228103614343196,101103.62891119742,18833785.99496437,33270348.122533683,17866740.429386724,-5809978.457372622,0.0,0.22758575883431464,293.91792489014955,299.1789859249408,1.3689249708066628e-06
2014,3,40.475,17.215,-1.425219376593291,0.3469150866367513,299.3158642774084,-0.0040134485643043534,0.10217538301313842,6.145569538278106e-05,100985.81322291822,23188545.896449115,32553456.87819877,22083352.571849298,-6836136.177513619,0.0,0.16867561453878546,294.62713982646983,299.7736480220664,-8.818020933368956e-06
2014,4,40.475,17.215,-1.5129643960312182,0.8984075570887615,301.29839278627395,-0.002868293044956511,0.0263666063281095,0.0,100830.68891150261,25441248.299024917,33624939.49069934,24280827.97141898,-6621613.658172218,0.0,0.22400167229904724,297.29536689619874,301.3271120360222,-1.1131061448988983e-05
2014,5,40.475,17.215,0.9807889404944174,-1.6277157359285999,302.6326096896375,-0.003146065923888708,0.04028337822165931,5.96014287117491e-06,100693.31130022279,25233473.95107808,34955353.67324859,24083187.16596219,-6301780.083881403,0.0,0.2706996973512385,298.5288573265032,303.16968940624383,-6.765720032421953e-06
2014,6,40.475,17.215,2.905639909830967,-3.5869653020081103,303.77191407337835,-0.0045464384278804575,0.03332499227488442,3.278078579146233e-06,100400.30729460731,24522076.347305935,34329292.8003296,23405302.299833674,-7222526.738574458,0.0,0.14326356683629204,298.98777633456734,303.79999707774857,-2.235315355656962e-06
2014,7,40.475,17.215,2.3732979674076837,-3.6517154301178603,304.70014304428446,-0.003689709008673859,0.0,6.95350001637062e-06,100403.74463152153,23179704.434834357,36118781.140249945,22118657.35679734,-5566902.940701631,0.0,0.35330852115191375,299.75924170599166,303.92529020445807,3.945290948517956e-06
2014,8,40.475,17.215,1.2500066137698758,-1.5653224132481318,305.17509265444625,-0.003415881767226494,0.005370266697694304,1.3410321460143385e-05,100364.81389433569,23580290.65722613,37045659.57249019,22513609.016449727,-5166510.9098469475,0.0,0.3365507311809196,300.29244709607184,304.7980731603615,5.712286684318609e-06
2014,9,40.475,17.215,1.8921406196565247,-3.1446301356491655,304.3974779032486,-0.004233549375333252,0.09033145752903117,7.251507159929506e-06,100577.50394362383,21863516.850991104,36507364.24250378,20839766.268399127,-5652961.97468451,0.0,0.3317865185913569,299.6667072754316,304.878222341076,5.716165455445977e-06
2014,10,40.475,17.215,-0.5561891588267495,0.5527014133303827,303.28487222459125,-0.004041199547947675,0.1867666504852517,0.0007064093778535835,100987.43533696764,19843922.984450582,36107079.06785894,18846035.772618376,-6082557.071109212,0.0,0.2225155876380827,297.7177898071749,304.98686663663847,-8.996444405227851e-06
2014,11,40.475,17.215,-2.350308912334064,2.0605607185068644,302.1030654179597,-0.006632562726736069,0.1569814420788,0.0001530432241698351,101150.12951394718,18389332.520714752,34931485.16051455,17398704.565379277,-6471897.941876612,0.0,0.1271526607765413,295.9878489214463,303.65869545955144,1.0793100599632388e-06
2014,12,40.475,17.215,-3.65152766649878,3.5775991606184445,300.2318812845544,-0.005665289697329418,0.2043443880373247,9.013060497410023e-05,101337.30988872019,17487843.49222529,33172552.23183739,16500742.208032595,-7125116.513008713,0.0,0.11124281322974458,295.01850222928596,301.56126290484735,6.437616885136292e-06
2015,1,40.475,17.215,-1.5518513932821179,0.3774295148264037,298.62936035387224,-0.005719081888372632,0.19494323232188362,0.00017579110279481933,101444.87149890132,16945963.91210535,32839786.157416873,16009609.755741384,-6684320.240748935,0.0,0.3754074742279039,293.2180281062773,300.082078291394,-3.7393618909037155e-07
2015,2,40.475,17.215,-2.7396220415068875,1.5547158479483176,298.7292111163817,-0.00411024820393224,0.17407445247051104,6.46344382474076e-05,101139.62439438909,20304699.157065906,32199794.245937157,19268703.338211283,-7003403.736300795,0.0,0.11852462806847078,294.18866898627766,299.4192200205312,6.180756041590637e-06
2015,3,40.475,17.215,-3.0158194322376355,2.240050058305348,300.21966932079425,-0.003075373252285462,0.17602611708986313,0.0005951533775916522,100966.36716520684,23096560.69003403,33189548.098881476,21998885.048982956,-6503051.212167915,0.0,0.10701184278323381,296.0224037367743,300.28250460481866,-4.1061759627571174e-06
2015,4,40.475,17.215,0.4462312147519946,-1.4778725275826645,300.54005378179573,-0.0033519624399722097,0.013916771893549812,0.0,100913.18499744404,25818540.670623958,33112463.018845465,24643609.383104697,-6964199.620878031,0.0,0.027742338632490593,296.2983245842624,301.013452326142,-3.50281156516665e-06
2015,5,40.475,17.215,0.13524602591075524,-0.25444242500322756,303.036083394262,-0.0026567411151447494,0.01074053339538858,1.324476193594569e-07,100658.12687405583,25547175.810294047,35239361.11270657,24389216.96072208,-6161965.406940015,0.0,0.11937257049266817,299.33345390663146,303.3572022032018,1.2771821004913088e-07
