time,year,month,2m_temperature,2m_temperature_delta_1_months_ago,2m_temperature_delta_2_months_ago,2m_temperature_delta_3_months_ago,2m_temperature_delta_4_months_ago,2m_temperature_delta_5_months_ago,2m_temperature_delta_6_months_ago,2m_temperature_delta_7_months_ago,2m_temperature_delta_8_months_ago,2m_temperature_delta_next_month,total_precipitation,total_precipitation_delta_1_months_ago,total_precipitation_delta_2_months_ago,total_precipitation_delta_3_months_ago,total_precipitation_delta_4_months_ago,total_precipitation_delta_5_months_ago,total_precipitation_delta_6_months_ago,total_precipitation_delta_7_months_ago,total_precipitation_delta_8_months_ago,total_precipitation_delta_next_month,10m_wind_speed,10m_wind_speed_delta_1_months_ago,10m_wind_speed_delta_2_months_ago,10m_wind_speed_delta_3_months_ago,10m_wind_speed_delta_4_months_ago,10m_wind_speed_delta_5_months_ago,10m_wind_speed_delta_6_months_ago,10m_wind_speed_delta_7_months_ago,10m_wind_speed_delta_8_months_ago,10m_wind_speed_delta_next_month,precipitation_type,precipitation_type_delta_1_months_ago,precipitation_type_delta_2_months_ago,precipitation_type_delta_3_months_ago,precipitation_type_delta_4_months_ago,precipitation_type_delta_5_months_ago,precipitation_type_delta_6_months_ago,precipitation_type_delta_7_months_ago,precipitation_type_delta_8_months_ago,precipitation_type_delta_next_month,surface_net_solar_radiation,surface_net_solar_radiation_delta_1_months_ago,surface_net_solar_radiation_delta_2_months_ago,surface_net_solar_radiation_delta_3_months_ago,surface_net_solar_radiation_delta_4_months_ago,surface_net_solar_radiation_delta_5_months_ago,surface_net_solar_radiation_delta_6_months_ago,surface_net_solar_radiation_delta_7_months_ago,surface_net_solar_radiation_delta_8_months_ago,surface_net_solar_radiation_delta_next_month,snow_depth,snow_depth_delta_1_months_ago,snow_depth_delta_2_months_ago,snow_depth_delta_3_months_ago,snow_depth_delta_4_months_ago,snow_depth_delta_5_months_ago,snow_depth_delta_6_months_ago,snow_depth_delta_7_months_ago,snow_depth_delta_8_months_ago,snow_depth_delta_next_month,surface_pressure,surface_pressure_delta_1_months_ago,surface_pressure_delta_2_months_ago,surface_pressure_delta_3_months_ago,surface_pressure_delta_4_months_ago,surface_pressure_delta_5_months_ago,surface_pressure_delta_6_months_ago,surface_pressure_delta_7_months_ago,surface_pressure_delta_8_months_ago,surface_pressure_delta_next_month,volumetric_soil_water_layer_1,volumetric_soil_water_layer_1_delta_1_months_ago,volumetric_soil_water_layer_1_delta_2_months_ago,volumetric_soil_water_layer_1_delta_3_months_ago,volumetric_soil_water_layer_1_delta_4_months_ago,volumetric_soil_water_layer_1_delta_5_months_ago,volumetric_soil_water_layer_1_delta_6_months_ago,volumetric_soil_water_layer_1_delta_7_months_ago,volumetric_soil_water_layer_1_delta_8_months_ago,volumetric_soil_water_layer_1_delta_next_month,is_january,is_february,is_march,is_april,is_may,is_june,is_july,is_august,is_september,is_october,is_november,is_december
1940-09-01,1940,9,294.7846760455491,-2.235673777607758,-3.2126510555154937,0.40860792612357955,4.8868587528182275,8.79575404608886,12.556722093377573,12.971904563766998,14.310153049084022,3.0519034482150005,0.0006921460133656,0.0002900927321239,0.00020772206512550002,-0.00030336779338390005,-0.00033394395907289994,-0.0021605706260514,6.245807510840001e-05,-0.00012045485913779995,-0.006457337995185,-0.0007189207356124999,3.093564369003512,-1.0056227500265553,-0.30507605345750166,-0.8105487689311528,-0.7323463030955657,-0.6201605667659802,-1.7452024400144177,-1.405733679069014,-2.659657219398439,-0.9191860513135737,0.1055923961824338,0.032969546056471496,0.016861137709245702,-0.1276930089730556,-0.16319172568591409,-0.29028255116935375,-0.708980731499302,-0.6932336332458457,-1.0489434205619688,-0.28284558507259705,16894958.861138664,-3992627.873834554,-6594873.9877008535,-5874461.105336241,-4151209.3259273916,-784147.523110494,2022593.1489783786,7151872.459432654,11886359.469152946,6419679.24062686,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003492272533161,-2.260424304073832e-05,-0.0007771898526698,0.0,100335.9295145194,127.00051405398699,284.9219620267686,432.87167629286705,557.047579082282,393.36991572949046,141.18776608732878,229.56386095554626,589.9371814582119,275.0572211710096,0.0712971815634281,0.014110246463095097,0.007808559435638893,-0.015534617000298206,-0.056965115385661014,-0.0883789160238774,-0.07354556492690412,-0.1067331557911777,-0.1278390756082027,-0.046019058327187806,0,0,0,0,0,0,0,0,1,0,0,0
1940-10-01,1940,10,291.7327725973341,-3.0519034482150005,-5.2875772258227585,-6.264554503730494,-2.643295522091421,1.834955304603227,5.743850597873859,9.504818645162572,9.920001115551997,4.754710413074349,0.0014110667489781,0.0007189207356124999,0.0010090134677364,0.0009266428007379999,0.00041555294222859985,0.00038497677653959997,-0.0014416498904389003,0.0007813788107208999,0.0005984658764747,0.0006858418944400999,4.012750420317086,0.9191860513135737,-0.08643669871298165,0.614109997856072,0.10863728238242087,0.18683974821800797,0.2990254845475935,-0.826016388700844,-0.48654762775544036,0.05208948422440152,0.3884379812550309,0.28284558507259705,0.31581513112906856,0.2997067227818428,0.15515257609954147,0.11965385938668299,-0.0074369660967566475,-0.42613514642670486,-0.41038804817324864,0.020383911123498855,10475279.620511804,-6419679.24062686,-10412307.114461415,-13014553.228327714,-12294140.345963102,-10570888.566554252,-7203826.763737354,-4397086.091648482,732193.2188057937,2702227.943661971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003492272533161,-2.260424304073832e-05,0.0,100060.8722933484,-275.0572211710096,-148.0567071170226,9.86474085575901,157.81445512185746,281.99035791127244,118.31269455848087,-133.8694550836808,-45.493360215463326,-91.20070613278949,0.1173162398906159,0.046019058327187806,0.0601293047902829,0.0538276177628267,0.0304844413268896,-0.010946057058473208,-0.042359857696689596,-0.02752650659971631,-0.0607140974639899,0.010358837859149206,0,0,0,0,0,0,0,0,0,1,0,0
1940-11-01,1940,11,286.9780621842597,-4.754710413074349,-7.80661386128935,-10.042287638897108,-11.019264916804843,-7.39800593516577,-2.919755108471122,0.9891401847995098,4.750108232088223,7.458491742411695,0.000725224854538,-0.0006858418944400999,3.307884117240004e-05,0.00032317157329630005,0.00024080090629790006,-0.0002702889522115,-0.0003008651179004999,-0.002127491784879,9.553691628080006e-05,-0.0007296931213891,3.960660936092684,-0.05208948422440152,0.8670965670891722,-0.13852618293738317,0.5620205136316705,0.05654779815801936,0.13475026399360646,0.24693600032319196,-0.8781058729252456,-1.6801929439823908,0.368054070131532,-0.020383911123498855,0.26246167394909825,0.2954312200055697,0.27932281165834394,0.13476866497604262,0.09926994826318414,-0.027820877220255502,-0.4465190575502037,-1.5002197276801383,7773051.676849833,-2702227.943661971,-9121907.184288831,-13114535.058123386,-15716781.171989685,-14996368.289625073,-13273116.510216223,-9906054.707399325,-7099314.035310453,2044039.4024995044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003492272533161,-0.0004263971428576,100152.07299948118,91.20070613278949,-183.8565150382201,-56.856000984233106,101.0654469885485,249.01516125464696,373.19106404406193,209.51340069127036,-42.66874895089131,159.2053621839441,0.1069574020314667,-0.010358837859149206,0.0356602204680386,0.0497704669311337,0.04346877990367749,0.020125603467740394,-0.021304894917622413,-0.0527186955558388,-0.037885344458865516,-0.03456828394037009,0,0,0,0,0,0,0,0,0,0,1,0
1940-12-01,1940,12,279.51957044184803,-7.458491742411695,-12.213202155486044,-15.265105603701045,-17.500779381308803,-18.47775665921654,-14.856497677577465,-10.378246850882817,-6.469351557612185,-2.516406817760185,0.0014549179759271,0.0007296931213891,4.385122694900009e-05,0.0007627719625615,0.0010528646946854,0.000970494027687,0.00045940416917759994,0.00042882800348860006,-0.0013977986634899002,-0.00017159648858189997,5.640853880075075,1.6801929439823908,1.6281034597579893,2.547289511071563,1.5416667610450077,2.2422134576140613,1.7367407421404102,1.8149432079759973,1.9271289443055828,0.6687925830418635,1.8682737978116704,1.5002197276801383,1.4798358165566394,1.7626814016292365,1.795650947685708,1.7795425393384823,1.634988392656181,1.5994896759433224,1.4723988504598828,1.197622524148139,5729012.274350328,-2044039.4024995044,-4746267.346161475,-11165946.586788336,-15158574.46062289,-17760820.57448919,-17040407.692124575,-15317155.912715727,-11950094.10989883,-1086509.491767506,0.0004263971428576,0.0004263971428576,0.0004263971428576,0.0004263971428576,0.0004263971428576,0.0004263971428576,0.0004263971428576,0.0004263971428576,0.0004263971428576,0.0004263971428576,99992.86763729724,-159.2053621839441,-68.0046560511546,-343.0618772221642,-216.0613631681772,-58.13991519539559,89.80979907070287,213.98570186011784,50.30803850732627,420.2465198831196,0.1415256859718368,0.03456828394037009,0.024209446081220887,0.07022850440840869,0.08433875087150379,0.07803706384404759,0.054693887408110486,0.01326338902274768,-0.01815041161546871,-0.021775640887328418,0,0,0,0,0,0,0,0,0,0,0,1
1941-01-01,1941,1,282.0359772596082,2.516406817760185,-4.94208492465151,-9.69679533772586,-12.74869878594086,-14.984372563548618,-15.961349841456354,-12.34009085981728,-7.861840033122633,-1.5486339018247577,0.001626514464509,0.00017159648858189997,0.0009012896099709999,0.00021544771553090006,0.0009343684511434,0.0012244611832673,0.0011420905162689,0.0006310006577594999,0.0006004244920705,-0.0009036834734769,4.972061297033211,-0.6687925830418635,1.0114003609405273,0.9593108767161258,1.8784969280296995,0.8728741780031442,1.5734208745721978,1.0679481590985467,1.1461506249341338,-0.31349225833218686,0.6706512736635312,-1.197622524148139,0.30259720353199915,0.2822132924085003,0.5650588774810974,0.5980284235375689,0.5819200151903431,0.43736586850804177,0.4018671517951833,0.2956419842269353,6815521.7661178345,1086509.491767506,-957529.9107319983,-3659757.8543939693,-10079437.09502083,-14072064.968855385,-16674311.082721684,-15953898.200357072,-14230646.420948222,-2989486.9168815715,0.0,-0.0004263971428576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99572.62111741412,-420.2465198831196,-579.4518820670637,-488.2511759342742,-763.3083971052838,-636.3078830512968,-478.3864350785152,-330.43672081241675,-206.26081802300178,39.05239058948064,0.1633013268591652,0.021775640887328418,0.05634392482769851,0.045985086968549305,0.09200414529573711,0.10611439175883221,0.099812704731376,0.0764695282954389,0.0350390299100761,-0.0053262237294055825,1,0,0,0,0,0,0,0,0,0,0,0
1941-02-01,1941,2,283.584611161433,1.5486339018247577,4.0650407195849425,-3.3934510228267527,-8.148161435901102,-11.200064884116102,-13.43573866172386,-14.412715939631596,-10.791456957992523,-0.48717373010066467,0.0025301979379859,0.0009036834734769,0.0010752799620588,0.0018049730834479,0.0011191311890078,0.0018380519246202999,0.0021281446567442,0.0020457739897458,0.0015346841312364,0.002030322688935,5.285553555365398,0.31349225833218686,-0.35530032470967665,1.3248926192727142,1.2728031350483127,2.1919891863618863,1.186366436335331,1.8869131329043847,1.3814404174307335,1.203608283078605,0.3750092894365959,-0.2956419842269353,-1.4932645083750744,0.0069552193050638755,-0.013428691818434979,0.26941689325416207,0.3023864393106336,0.2862780309634078,0.1417238842811065,0.1411217007914905,9805008.682999406,2989486.9168815715,4075996.4086490776,2031957.0061495733,-670270.9375123978,-7089950.178139258,-11082578.051973812,-13684824.165840112,-12964411.2834755,-5124748.411823049,0.0,0.0,-0.0004263971428576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99533.56872682464,-39.05239058948064,-459.29891047260026,-618.5042726565443,-527.3035665237549,-802.3607876947644,-675.3602736407775,-517.4388256679958,-369.4891114018974,-578.2535621366405,0.1686275505885708,0.0053262237294055825,0.027101864616734,0.06167014855710409,0.05131131069795489,0.0973303690251427,0.11144061548823779,0.10513892846078159,0.08179575202484449,0.030862979323147993,0,1,0,0,0,0,0,0,0,0,0,0
1941-03-01,1941,3,284.07178489153364,0.48717373010066467,2.0358076319254224,4.552214449685607,-2.906277292726088,-7.660987705800437,-10.712891154015438,-12.948564931623196,-13.925542209530931,-2.0907050765454187,0.0004998752490509,-0.002030322688935,-0.0011266392154581,-0.0009550427268762,-0.00022534960548710003,-0.0009111914999271999,-0.0001922707643147,9.782196780920002e-05,1.5451300810800028e-05,-0.0014865892371632998,4.081945272286793,-1.203608283078605,-0.8901160247464182,-1.5589086077882817,0.12128433619410917,0.06919485196970765,0.9883809032832813,-0.017241846743274003,0.6833048498257797,-0.36403498057961947,0.2338875886451054,-0.1411217007914905,-0.4367636850184258,-1.634386209166565,-0.13416648148642663,-0.15455039260992548,0.1282951924626716,0.16126473851914308,0.1451563301719173,-0.0661498563343087,14929757.094822455,5124748.411823049,8114235.328704621,9200744.820472127,7156705.417972622,4454477.474310651,-1965201.766316209,-5957829.640150763,-8560075.754017062,-3026036.1658401117,0.0,0.0,0.0,-0.0004263971428576,0.0,0.0,0.0,0.0,0.0,0.0,100111.82228896128,578.2535621366405,539.2011715471599,118.95465166404028,-40.250710519903805,50.94999561288569,-224.1072255581239,-97.10671150413691,60.814736468644696,376.636233843994,0.1377645712654228,-0.030862979323147993,-0.02553675559374241,-0.0037611147064139927,0.0308071692339561,0.020448331374806894,0.0664673897019947,0.0805776361650898,0.07427594913763359,0.0109193652766858,0,0,1,0,0,0,0,0,0,0,0,0
1941-04-01,1941,4,286.16248996807906,2.0907050765454187,2.5778788066460834,4.126512708470841,6.642919526231026,-0.8155722161806693,-5.5702826292550185,-8.622186077470019,-10.857859855077777,-3.8888429332597525,0.0019864644862142,0.0014865892371632998,-0.0005437334517717001,0.00035995002170519986,0.0005315465102870998,0.0012612396316761998,0.0005753977372360999,0.0012943184728485997,0.0015844112049724999,0.0008913877200147997,4.445980252866413,0.36403498057961947,-0.8395733024989855,-0.5260810441667987,-1.1948736272086622,0.48531931677372864,0.4332298325493271,1.3524158838629008,0.34679313383634547,1.052162088333597,0.3000374449794141,0.0661498563343087,-0.0749718444571818,-0.3706138286841171,-1.5682363528322563,-0.06801662515211793,-0.08840053627561678,0.1944450487969803,0.22741459485345178,0.06347013980551788,17955793.260662567,3026036.1658401117,8150784.577663161,11140271.494544733,12226780.986312238,10182741.583812734,7480513.640150763,1060834.3995239027,-2931793.4743106514,-2231014.486014683,0.0,0.0,0.0,0.0,-0.0004263971428576,0.0,0.0,0.0,0.0,0.0,99735.18605511729,-376.636233843994,201.61732829264656,162.56493770316592,-257.6815821799537,-416.8869443638978,-325.6862382311083,-600.7434594021179,-473.7429453481309,-69.99472307843098,0.126845205988737,-0.0109193652766858,-0.04178234459983379,-0.03645612087042821,-0.014680479983099792,0.0198878039572703,0.009528966098121094,0.0555480244253089,0.069658270888404,0.018958444645943498,0,0,0,1,0,0,0,0,0,0,0,0
1941-05-01,1941,5,290.0513329013388,3.8888429332597525,5.979548009805171,6.466721739905836,8.015355641730594,10.531762459490778,3.073270717079083,-1.681439695995266,-4.7333431442102665,-5.767518957231005,0.0010950767661994,-0.0008913877200147997,0.0005952015171485001,-0.0014351211717864999,-0.0005314376983095999,-0.0003598412097276999,0.00036985191166140005,-0.0003159899827786998,0.0004029307528338001,0.0008710398802146001,3.393818164532816,-1.052162088333597,-0.6881271077539775,-1.8917353908325825,-1.5782431325003956,-2.247035715542259,-0.5668427715598683,-0.6189322557842698,0.30025379552930387,-0.3434721448857947,0.2365673051738962,-0.06347013980551788,0.0026797165287908153,-0.13844198426269969,-0.43408396848963493,-1.6317064926377742,-0.1314867649576358,-0.15187067608113466,0.1309749089914624,0.1990818616670227,20186807.74667725,2231014.486014683,5257050.6518547945,10381799.063677844,13371285.980559416,14457795.472326921,12413756.069827417,9711528.126165446,3291848.8855385855,-4523951.25332275,0.0,0.0,0.0,0.0,0.0,-0.0004263971428576,0.0,0.0,0.0,0.0,99805.18077819572,69.99472307843098,-306.641510765563,271.61205137107754,232.5596607815969,-187.6868591015227,-346.8922212854668,-255.6915151526773,-530.7487363236869,-283.4454606839281,0.1078867613427935,-0.018958444645943498,-0.029877809922629298,-0.06074078924577729,-0.05541456551637171,-0.03363892462904329,0.0009293593113268023,-0.009429478547822404,0.0365895797793654,0.0556450854499906,0,0,0,0,1,0,0,0,0,0,0,0
1941-06-01,1941,6,295.8188518585698,5.767518957231005,9.656361890490757,11.747066967036176,12.23424069713684,13.782874598961598,16.299281416721783,8.840789674310088,4.086079261235739,-2.904633656659655,0.0002240368859848,-0.0008710398802146001,-0.0017624276002293998,-0.0002758383630661,-0.0023061610520010998,-0.0014024775785242,-0.0012308810899423,-0.0005011879685532,-0.0011870298629933,-5.070638153410002e-05,3.7372903094186105,0.3434721448857947,-0.7086899434478022,-0.34465496286818276,-1.5482632459467878,-1.234770987614601,-1.9035635706564644,-0.2233706266740736,-0.2754601108984751,-0.12355898616024064,0.0374854435068735,-0.1990818616670227,-0.2625520014725406,-0.1964021451382319,-0.3375238459297224,-0.6331658301566576,-1.830788354304797,-0.3305686266246585,-0.3509525377481574,-0.017553648722304,24710759.0,4523951.25332275,6754965.739337433,9781001.905177545,14905750.317000594,17895237.233882166,18981746.72564967,16937707.323150165,14235479.379488196,1020962.4915691316,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004263971428576,0.0,0.0,0.0,100088.62623887965,283.4454606839281,353.4401837623591,-23.196050081634894,555.0575120550056,516.005121465525,95.75860158240539,-63.4467606015387,27.753945531250793,189.69832469901303,0.0522416758928029,-0.0556450854499906,-0.0746035300959341,-0.0855228953726199,-0.11638587469576789,-0.1110596509663623,-0.08928401007903389,-0.054715726138663795,-0.065074563997813,-0.0017276862393333994,0,0,0,0,0,1,0,0,0,0,0,0
