time,10m_wind_speed,2m_temperature,precipitation_type,surface_net_solar_radiation,snow_depth,surface_pressure,total_precipitation,volumetric_soil_water_layer_1
1994-01-01,3.9292210297369667,283.69276921729795,0.5053678376972289,6460641.551020095,6.516111488456084e-06,99917.44321658554,0.002319622744014792,0.2428941612565046
1994-02-01,3.6592318973160274,282.65056017072266,0.6130312715778692,8318274.747180809,0.0005595806565880628,99858.32535230342,0.006052369861383961,0.2507033348083496
1994-03-01,2.666338175442884,285.73479123456286,0.34277028203467147,16207729.754398547,0.0,100367.81888991043,6.87914716026132e-05,0.19175720496072385
1994-04-01,3.4872592448380564,287.32347568448336,0.31115846527822816,17061967.515892755,2.9514152035949818e-06,99480.63557768606,0.0012545482558245316,0.17257842757923691
1994-05-01,2.9189902888681307,291.6949450838759,0.24731920308756658,21217392.159110676,0.0,99803.49941727832,0.0010611428306150218,0.15926827867582677
1994-06-01,2.7637503148544122,295.60172678537197,0.10974766902386013,23248989.635069355,0.0,100002.62416740421,0.00032774856178753586,0.10608573355584588
1994-07-01,2.75951993113433,299.3005340358698,0.06457770441037342,22225240.06163307,0.0,99728.80600327317,0.0008442060384912615,0.11021561153335259
1994-08-01,2.4108154444932963,300.4255322700013,0.016114842218090508,20899040.707414582,0.0,99776.95175808373,0.0001345672448343528,0.09495662462850855
1994-09-01,2.256179811011018,296.98410592114016,0.07922394016301904,16827258.85320373,0.0,99966.10815638686,4.4027509278568404e-05,0.08357043494353526
1994-10-01,3.035590240152887,291.7667179682493,0.29430741984238856,10930283.211496497,0.0,100049.38542890605,0.003584153580335369,0.1364184986476672
1994-11-01,3.146486727672176,287.7310789022503,0.3625419844534433,7907693.604184151,0.0,100369.20338321915,0.000849360528386764,0.20370178510851933
1994-12-01,2.882201059016704,284.0459585738888,0.3682830797973445,6627291.06219767,0.0,100521.73993350679,0.0013480013987125566,0.19945304183447127
1995-01-01,4.315281315477652,282.24963350033926,0.4179628823991825,6755458.52976363,0.0004454720454049227,99975.55732321885,0.0017050058510401913,0.2209980679098978
1995-02-01,3.1362884812041214,284.6268181962594,0.3541236202085209,10318386.914729983,0.0,100218.36283723469,0.00033805754157854124,0.18605167072673867
1995-03-01,4.0434413901791775,283.61198299395676,0.3776893133159057,13690177.215311369,0.00016052632302149521,99745.17763664872,0.002585191027761337,0.20653796637018057
1995-04-01,3.145655759441446,285.80456115472117,0.2861324436793772,18392937.371385407,2.947582196836918e-05,99907.05951677018,0.0010178899371440656,0.18446219292415075
1995-05-01,2.9681684996140825,290.63070343093483,0.1909247528141833,20907309.576289807,0.0,99867.80913146812,0.000773723991876672,0.14602170888452012
1995-06-01,2.5521178150006736,295.2872614036058,0.10278963327040386,23604232.96328567,0.0,99744.55461465979,0.0002718335518341495,0.09050332247204049
1995-07-01,2.5122691112088313,299.33758887384863,0.07531541390644791,22803424.816062137,0.0,99702.7429167366,0.00036102863785197675,0.09931041165298851
1995-08-01,2.3720243366314744,297.52457243184017,0.2124001718063323,18663901.843758106,0.0,99680.17567580457,0.0019175725321655909,0.16260203559742856
1995-09-01,2.8603692573184247,294.32917685406346,0.2556087148185361,15162989.975355927,0.0,99820.56329730824,0.001092630040628853,0.1627513082954107
1995-10-01,2.217577559565271,291.2996934787686,0.1531996001179749,13030257.872384904,0.0,100611.2474259152,0.00016818348328328245,0.10588117467342588
1995-11-01,4.079097481534153,285.3822695327104,0.4694895710343453,7560401.111424778,9.505856759630185e-06,100058.69614640716,0.003045733494511676,0.19367839986993882
1995-12-01,3.4247855424004188,285.73545888930124,0.659904952764733,4790330.038225016,0.0,99957.55891020555,0.003483977189757558,0.23111820397124455
1996-01-01,3.805444534641357,283.74518011425897,0.6088936741853819,5923801.140967146,0.0,99918.37774956893,0.0032910199810607006,0.23461505513693798
1996-02-01,3.5442561112095166,281.63338817683575,0.36352985372708213,8619134.36087162,0.0005277283704297862,99536.98445535074,0.003463583338431874,0.24708485403689293
1996-03-01,2.885978187338206,283.129936272863,0.46911733043848136,11766393.06814887,0.0001821061510685585,99696.1319611875,0.0027632450374125025,0.24305725550059623
1996-04-01,2.95105810831768,286.7215849378545,0.2805202008494289,17817932.95113912,8.815915543206043e-07,99854.76028203349,0.0012006502201780808,0.20907560223587746
1996-05-01,2.8445053183681175,291.6762507512019,0.21509175765334831,20872325.900279246,0.0,99695.75122552761,0.0007370822919673383,0.15754334972136613
1996-06-01,2.7248458931429447,296.20528666884667,0.10144384034689585,23629357.60332962,0.0,100092.20088447805,0.0002140136217019901,0.09108382740863781
1996-07-01,2.7764036947314428,297.95153763701944,0.026852551714165007,23366980.03325042,0.0,99920.10836620482,0.00034410846449934836,0.09460279304810637
1996-08-01,2.5245825495369267,298.82916979058973,0.12499521650828588,20075334.154075045,0.0,99774.25199613173,0.00023205433633624898,0.08848261243083741
1996-09-01,3.56310398153381,293.34972735289375,0.3000485151862897,14035561.507561075,0.0,99592.95259735554,0.0017558784252262385,0.14565682006723038
1996-10-01,3.7198170355929143,289.982076852621,0.4476275945003376,10104668.457647292,0.0,100073.89096047031,0.004606983662208141,0.21344044649724497
1996-11-01,3.3381004474219558,287.7811530076271,0.5361349546399811,7377531.895915034,0.0,100007.2622199884,0.001206701143098888,0.18411941858063616
1996-12-01,3.409677029114412,284.0589778412868,0.58605814532373,5207589.883005507,5.327879393502311e-06,99659.68517483558,0.00228522212666872,0.2332854224012079
1997-01-01,2.6618433927402974,283.5642456801642,0.6196313836814563,6583084.417057054,0.0,100452.51526807106,0.0026346068982812643,0.23483343556546743
