year,month,longitude,latitude,precipitation_type,total_precipitation,volumetric_soil_water_layer_1,snowfall,surface_solar_radiation_downwards,total_cloud_cover,evaporation,surface_net_thermal_radiation,surface_pressure,10m_v_component_of_wind,2m_dewpoint_temperature,surface_thermal_radiation_downwards,soil_temperature_level_1,10m_u_component_of_wind,2m_temperature,surface_net_solar_radiation
2023,4,40.47464,17.215733,0.05554313031578556,2.2788292993154138e-05,-5.95853359229442e-06,0.0,24867812.29051012,0.1827988879197451,-0.0027200297918170695,-5399558.8669372685,100733.81678600857,0.9023345002919513,297.59962575585126,35031806.140112616,301.61599112413427,-1.6353248208044955,301.35981908983354,23731126.917980254
2023,5,40.47464,17.215733,0.024168044242738385,5.41625568233529e-05,1.1065474892143105e-06,0.0,24820264.093891624,0.20344086190275454,-0.0034412833830108945,-5889063.872415424,100749.31590000457,-0.235278794747027,298.81857053784563,35801533.12218271,303.98458941889845,-0.20672617288525186,303.42062393436913,23689285.75015641
2023,6,40.47464,17.215733,0.0013426691245965738,1.6409176080766177e-06,-9.474321006651913e-06,0.0,23759535.944135014,0.2622954064764333,-0.004649089937820311,-6606153.589504524,100426.74168453299,-3.3491492102977207,299.8747673188925,35519442.73846764,304.8627652699487,2.656414031982422,304.93700041942725,22673177.16175057
2023,7,40.47464,17.215733,0.0,3.4265647969073266e-06,1.0451069101691246e-05,0.0,23422053.756824803,0.5209285616874695,-0.005231233914133557,-6276175.26652221,100267.6875,-3.6934595108032227,299.9350484679474,36049932.250011444,305.2106549871284,2.617880976664149,306.0217570265768,22352037.258282088
2023,8,40.47464,17.215733,0.005370676498386295,1.0657698040932419e-05,-9.493935338956915e-08,0.0,23648549.408069216,0.37558287121361783,-0.004248956893433225,-5688373.50891917,100391.50528073643,-2.2515995473475905,300.4150773602374,37041460.0,305.853071676734,1.804948533494322,306.1806640625,22576143.798193276
2023,9,40.47464,17.215733,0.07775945964545057,3.677440848230641e-06,-7.315367606942012e-06,0.0,22374159.95319915,0.2643236745544943,-0.004349662554411749,-5993129.67123434,100464.86775365083,-2.3968840626375254,300.783203125,36842415.606671445,306.10032888815323,1.7471489505169129,305.3732744783043,21333902.174568538
2023,10,40.47464,17.215733,0.1397713944721791,0.000967484200373292,4.527231297157243e-06,0.0,20250259.01632765,0.2019341484733378,-0.005200942850608055,-6081086.730975234,100924.81490718416,1.1849338836283405,298.90061062836423,36713265.792440444,306.117919921875,-1.1535657759546485,304.4572873381779,19246015.979598068
2023,11,40.47464,17.215733,0.10827634483473497,0.0002489899467980866,-3.529837935244999e-06,0.0,18413602.969053756,0.34032577696526595,-0.005424355978531953,-5921337.0901530525,101092.87083702104,3.1893001653636834,297.16500200161556,35480210.157599986,303.58962648857494,-3.4160887553887487,302.6107964458567,17425627.165244993
2023,12,40.47464,17.215733,0.20031608262666806,2.4042673249770764e-05,-5.417356842625799e-06,0.0,17726170.94390612,0.1411614418029785,-0.005609497427940369,-6855002.951490089,101263.13342037599,3.364309310913086,295.5364118420657,33572073.371370144,301.8273783505901,-3.6251449584960933,300.62822616712424,16726486.284085881
2024,1,40.47464,17.215733,0.2177753952296696,0.0004425629565162038,-1.1728378012776375e-05,0.0,17082009.0,0.32269722984109006,-0.004134141857886782,-6092680.563944883,101415.375,0.07133722825552638,294.3600968229389,33846405.90011139,300.86281971383335,-1.3583085773472616,299.42235004096216,16137849.0
2024,2,40.47464,17.215733,0.20263691619942434,0.00011704390121680393,4.2153076543114074e-07,0.0,18837625.318846993,0.32574542700983317,-0.004509715772166584,-5655375.676620939,101330.19116895304,-1.5387469107989777,293.9819797075042,33975777.367341645,300.24143364554885,0.40510589700662497,299.1577266087553,17870740.899302643
2024,3,40.47464,17.215733,0.21240010474803725,0.00018565112254634016,-1.8149269968016585e-06,0.0,21969816.93414005,0.25920084889447736,-0.003484537434420672,-5308564.0,101035.81308176796,0.16804997453451934,296.21626774779736,34751858.40205698,300.951167978168,-1.340383996888264,300.6015200334719,20916682.55239345
2024,4,40.47464,17.215733,0.03198413186152396,3.8653735146004656e-07,3.965747727613628e-06,0.0,25092230.0,0.17078574584597236,-0.0030452067838120846,-5557775.669265866,100701.87284936596,-0.21610856218838476,297.68921486687765,35294908.250225075,302.4555453201417,-0.4708022111982897,302.02171011184845,23949750.0
